ID_LAB,Island_Site,Depth,Species,Zoox,Chl_A,Chl_C2,Relative_Index_Light,RatioChlA,RatioChlC2,Septa.Distance,Width.Valley,Height.Septa,septa_sd,height_sd,valley_sd
93,Moorea_2,90,Pachyseris speciosa,7928647.734,17.17719121,7.182705718,3.61502054934829,2.1664717346868574e-6,9.05918128661308e-7,0.02702,0.08913,1.1104444444444446,0.009099548218333576,NA,0.036585305186038225
96,Moorea_2,90,Pachyseris speciosa,8657043.679,17.55410127,6.238679251,3.61502054934829,2.027724696894186e-6,7.206477733424868e-7,0.01491,0.09352,1.0793333333333333,0.00421543460261085,NA,0.0581825632528051
109,Moorea_2,60,Pachyseris speciosa,9678383.503,24.14486125,10.89738771,12.2173416036179,2.4947204502193823e-6,1.125951219707521e-6,0.05147,0.10715000000000001,1.782,0.014286983197613443,0.23766456287053914,0.06261354574779415
117,Moorea_2,40,Pachyseris speciosa,9641961.158,27.27163066,12.93036227,23.9135106993185,2.8284319147430442e-6,1.3410510640018075e-6,0.04435,0.1639,2.002222222222222,0.009232821887158876,NA,0.027196609265780824
123,Moorea_2,60,Pachyseris speciosa,11836060.22,29.83200455,13.6719136,12.2173416036179,2.520433657442138e-6,1.1551067961700519e-6,0.03745,0.10322222222222223,1.96,0.00991578427446754,0.3748777578535879,NA
126,Moorea_2,40,Pachyseris speciosa,6442690.414,24.82695811,11.26465628,23.9135106993185,3.8535078538076095e-6,1.7484397908553612e-6,0.02408,0.12338,3.151,0.0046891837716647915,0.44398323291663966,0.051736292870672516
136,Moorea_2,60,Pachyseris speciosa,6684299.462,16.11952129,6.965512884,12.2173416036179,2.4115498387884766e-6,1.042070739588896e-6,0.08126,0.09998,2.515,0.12586523833935334,NA,0.01714732243432387
137,Moorea_2,60,Pachyseris speciosa,9820284.578,30.00431587,13.12340684,12.2173416036179,3.0553407726307133e-6,1.3363570816878215e-6,0.03074,0.06538000000000001,2.478,0.0059200600597554,0.4782096239563194,0.03960103253423802
138,Moorea_2,60,Pachyseris speciosa,5306192.866,8.050147211,2.954215784,12.2173416036179,1.5171229946393735e-6,5.567486630441676e-7,0.34959,0.06394,3.5585714285714287,0.9451991412160484,NA,0.02229086509462266
145,Moorea_2,60,Pachyseris speciosa,6990987.78,9.598757508,4.291112608,12.2173416036179,1.3730187793290635e-6,6.138063379650192e-7,0.0319,0.10408,3.1155555555555554,0.011167910378500637,NA,0.043296286728129976
152,Moorea_2,60,Pachyseris speciosa,9097399.056,31.37827309,12.41889781,12.2173416036179,3.4491477065969877e-6,1.3651042164418824e-6,0.04796,0.07699,2.131,0.009503005372570886,0.3609693738932555,0.05407460792481275
182,Moorea_2,40,Pachyseris speciosa,10304270.38,23.97885498,11.6773553,23.9135106993185,2.3270793657105104e-6,1.1332539684386658e-6,0.03887,0.1634,3.1122222222222224,0.007488071996330045,NA,0.03768937368660945
183,Moorea_2,40,Pachyseris speciosa,7668234.654,16.03452163,7.126851456,23.9135106993185,2.0910316850614205e-6,9.293992395345391e-7,0.03043,0.14104,2.503,0.008571924456555184,0.341436507844268,0.04443790174064377
215,Moorea_2,40,Pachyseris speciosa,7936812.944,23.49218656,11.58874944,23.9135106993185,2.959901754741418e-6,1.4601263154073397e-6,0.03207,0.2075,2.0028571428571427,0.012197454197040008,NA,0.036866877636527164
216,Moorea_2,40,Pachyseris speciosa,8511185.088,29.55343987,13.6654528,23.9135106993185,3.4723060965584775e-6,1.6055875484680802e-6,0.03271,0.15610000000000002,2.42125,0.011773647598674669,NA,0.042019704372538796
217,Moorea_2,40,Pachyseris speciosa,7525995.411,21.80996758,9.845502408,23.9135106993185,2.8979512195984777e-6,1.308199363716035e-6,0.03505,0.15075,3.3333333333333335,0.007768204425734431,NA,0.056481683363330766
219,Moorea_2,40,Pachyseris speciosa,7801533.371,17.03752693,8.32404449,23.9135106993185,2.1838690062305187e-6,1.066975438564717e-6,0.05345,0.1509,2.58,0.015592751164848649,NA,0.04650794436318261
852,Bora_2,40,Pachyseris speciosa,12557444.37,39.72142681,16.70335657,23.9701828750539,3.163177605221595e-6,1.3301557289717862e-6,0.03242,0.1738,2.601,0.006057648975560661,0.3123548551816596,0.04145894890665276
853,Bora_2,40,Pachyseris speciosa,7301643.551,19.50466948,8.350938407,23.9701828750539,2.6712711109170387e-6,1.143706666680037e-6,0.06223,0.14474,2.242,0.01676372074848938,0.35019994288977263,0.04639550265560949
854,Bora_2,40,Pachyseris speciosa,5653066.774,19.46546689,8.444296106,23.9701828750539,3.443346358392051e-6,1.49375488448812e-6,0.04859,0.1591,2.417,0.013848581957089406,0.20347262988203385,0.05941277453357803
855,Bora_2,40,Pachyseris speciosa,8512599.921,30.64008058,14.27260399,23.9701828750539,3.5993798445070843e-6,1.6766445178270936e-6,0.06305,0.1489,3.0255555555555556,0.01580395520115139,NA,0.03076596243325478
856,Bora_2,40,Pachyseris speciosa,8072797.64,25.92017032,11.28197214,23.9701828750539,3.2108039215014934e-6,1.3975294121208768e-6,0.0474,0.1587,4.126,0.013246886426628711,0.6417718528504589,0.04259120931731231
857,Bora_2,40,Pachyseris speciosa,11165364.33,35.62579103,16.91652189,23.9701828750539,3.1907414730997858e-6,1.5150891086059168e-6,0.06428,0.2109,3.92,0.007849529356025817,0.7842193570679059,0.03761042999547392
909,Bora_2,90,Pachyseris speciosa,10510229.01,51.7360184,20.57050659,4.0898121591231,4.922444444433661e-6,1.9571891887824812e-6,0.02676,0.13092,1.240625,0.009180196076337369,NA,0.055669656606329686
910,Bora_2,90,Pachyseris speciosa,11032417.5,39.50082031,16.36586232,4.0898121591231,3.580431968786533e-6,1.4834339182685936e-6,0.03236,0.19821,1.5373333333333332,0.0068375109181306295,NA,0.2041492833416
911,Bora_2,90,Pachyseris speciosa,8546704.529,32.94456532,14.58314807,4.0898121591231,3.854651252797511e-6,1.7062890170729104e-6,0.03753,0.17333,1.303,0.009581585347831422,0.2815058712630263,0.069658692526090707
912,Bora_2,90,Pachyseris speciosa,15860159.13,57.81728802,24.32756614,4.0898121591231,3.6454418613390037e-6,1.5338790702284712e-6,0.02278,0.11297,1.3047777777777778,0.003891814772342361,NA,0.055112814601808655
913,Bora_2,90,Pachyseris speciosa,8235943.057,19.09425842,NA,4.0898121591231,2.3184058325623266e-6,NA,0.03173,0.0941,1.5273,0.007816656005678586,0.47837178707221717,0.03997813291176954
914,Bora_2,90,Pachyseris speciosa,17247432.9,62.53888372,25.52712467,4.0898121591231,3.625982143696295e-6,1.4800535719144617e-6,0.03124,0.09547,1.985,0.008919043296976046,0.1746265857320827,0.05904275381262105
915,Bora_2,90,Pachyseris speciosa,15766747.01,40.75528916,17.28773303,4.0898121591231,2.5848888888843786e-6,1.0964679663493882e-6,0.02488,0.08746,1.6266666666666667,0.009545423568973307,NA,0.030379239987567537
916,Bora_2,90,Pachyseris speciosa,12225079.53,29.63934577,15.5140574,4.0898121591231,2.4244705891087156e-6,1.2690352943658928e-6,0.02997,0.09577000000000001,1.6845714285714286,0.005670596676423625,NA,0.032233662528481
917,Bora_2,90,Pachyseris speciosa,10975694.96,38.27684544,15.2564767,4.0898121591231,3.487418844956675e-6,1.3900237529924937e-6,0.03722,0.1122,2.043,0.010557966976017052,0.36484547718482435,0.03461993645285907
918,Bora_2,90,Pachyseris speciosa,19322646.86,78.46744149,29.68533744,4.0898121591231,4.060905426597441e-6,1.5362976746965195e-6,0.02983,0.12082,0.9467,0.006629571797802797,0.25263546421232663,0.047886574318904876
1027,Bora_2,60,Pachyseris speciosa,9350652.692,32.36078887,12.7999331,11.803795404123,3.4608053508057724e-6,1.3688812451510524e-6,0.04681111111111111,0.12645,3.0044444444444443,NA,NA,0.06761205102971249
1028,Bora_2,60,Pachyseris speciosa,19116774.94,66.0418403,29.70850341,11.803795404123,3.4546538580529e-6,1.554054148947364e-6,0.04217,0.12738888888888888,2.26625,0.010064022831629289,NA,NA
1029,Bora_2,60,Pachyseris speciosa,13185493.83,44.45060274,18.03805926,11.803795404123,3.3711746646048828e-6,1.368023032930273e-6,0.05064,0.16921,2.0614285714285714,0.017273434966895138,NA,0.054883076727813944
1030,Bora_2,60,Pachyseris speciosa,8594964.673,28.87928631,11.43059574,11.803795404123,3.3600238521887873e-6,1.3299177105297217e-6,0.05982,0.13013,2.4785714285714286,0.008403147558438379,NA,0.059296187810759717
1031,Bora_2,60,Pachyseris speciosa,9575770.323,28.58311993,11.52391936,11.803795404123,2.984942095086212e-6,1.2034456729105908e-6,0.0538,0.13343,3.086666666666667,0.010668749796589208,NA,0.05291714802930667
1032,Bora_2,60,Pachyseris speciosa,11508134.26,50.41772471,21.63164781,11.803795404123,4.381051139213943e-6,1.8796833023739853e-6,0.04416,0.11017,3.3566666666666665,0.0071915382375554535,NA,0.0310824727316073
1033,Bora_2,60,Pachyseris speciosa,10595916.82,22.68226459,9.96997568,11.803795404123,2.140660876762149e-6,9.409261934919567e-7,0.04374,0.15413,3.082,0.013220371485787462,0.5201452788511217,0.06142305122852676
1737,Tikehau_2,40,Pachyseris speciosa,7846683.572,17.76846534,5.181607995,23.5045034478894,2.264455445024539e-6,6.603564356144016e-7,0.03715,0.15453,1.94,0.00886180944653329,NA,0.07097899611074313
1738,Tikehau_2,40,Pachyseris speciosa,5141157.49,10.11387196,2.292208436,23.5045034478894,1.9672363625647266e-6,4.4585454549068874e-7,0.0426,0.1737,2.5428571428571427,0.008803155999728479,NA,0.04945267097606223
1739,Tikehau_2,40,Pachyseris speciosa,11752503.47,39.55395207,12.85164237,23.5045034478894,3.365576719119233e-6,1.0935238098678901e-6,0.06791,0.34981999999999996,1.409,0.017483608196123462,0.35120269550977734,0.6216006234803108
1740,Tikehau_2,40,Pachyseris speciosa,7092357.425,12.84156337,1.494372152,23.5045034478894,1.8106198828522803e-6,2.107017543606102e-7,0.041999999999999996,0.14371,1.93125,0.011072889816524357,NA,0.04317737190293597
1741,Tikehau_2,40,Pachyseris speciosa,8888482.558,32.74204412,2.408212255,23.5045034478894,3.683648351262254e-6,2.709362637869509e-7,NA,NA,NA,NA,NA,NA
1742,Tikehau_2,40,Pachyseris speciosa,7209728.107,16.47505269,4.485274851,23.5045034478894,2.2851142852397162e-6,6.221142856476377e-7,0.06738,0.11855,2.787777777777778,0.022411941261548742,NA,0.0735463610399741
1743,Tikehau_2,40,Pachyseris speciosa,15861397.5,37.62785459,16.48387465,23.5045034478894,2.3722912555466817e-6,1.0392447859654232e-6,0.04572,0.1804,2.05375,0.007774716858009828,NA,0.06259960951244911
1827,Tikehau_2,20,Pachyseris speciosa,7046778.235,22.07302475,7.058721927,55.5655039501645,3.132356945812131e-6,1.0016949152650607e-6,0.03851,0.1785,1.63,0.008558225413146246,0.27820855486487106,0.05553427370152198
1828,Tikehau_2,20,Pachyseris speciosa,9637438.443,29.54090692,10.41553533,55.5655039501645,3.0652239279885175e-6,1.0807368982538258e-6,0.060110000000000004,0.18502,2.148,0.012772753118346187,0.32591068987957084,0.08416267053219681
1830,Tikehau_2,20,Pachyseris speciosa,8486570.548,15.82421069,4.853175607,55.5655039501645,1.864617821827833e-6,5.718653464966164e-7,0.038489999999999996,0.17883,2.832,0.006170980473150114,0.5019694545819829,0.057282924545142104
1831,Tikehau_2,20,Pachyseris speciosa,10629536.21,24.11040762,8.789416791,55.5655039501645,2.268246435561086e-6,8.268861987347236e-7,0.03981,0.18248,4.1370000000000005,0.009180347366945205,0.4051625188324639,0.08085208442307196
1832,Tikehau_2,20,Pachyseris speciosa,10602558.14,36.49452682,9.837754115,55.5655039501645,3.44204920530622e-6,9.278660852502525e-7,0.05208,0.10237,2.775,0.011831389511709003,0.3445850967306754,0.02691203985001674
1833,Tikehau_2,20,Pachyseris speciosa,8633001.251,19.53903062,6.021025058,55.5655039501645,2.2632952378799554e-6,6.97442857117918e-7,0.04034,0.14943,2.49,0.007875164901271735,0.34192266832006196,0.029619514963393084
1834,Tikehau_2,20,Pachyseris speciosa,11612530.99,31.88982107,12.24186344,55.5655039501645,2.7461559497633684e-6,1.0541942536508142e-6,0.06583,0.2136,1.55125,0.011812427542399761,NA,0.08696257177020979
1836,Tikehau_2,90,Pachyseris speciosa,11012399.96,56.47665939,20.43340802,2.90674498402584,5.1284606076003795e-6,1.8554909097217352e-6,0.02874,0.09098,1.1075,0.005945717413025576,0.2244911530055868,0.0457718933650578
1837,Tikehau_2,90,Pachyseris speciosa,7437161.145,33.58067337,12.81731124,2.90674498402584,4.5152542368368976e-6,1.7234144843852246e-6,0.03058,0.07638,0.6697777777777778,0.009909905257984165,NA,0.026865789894709346
1838,Tikehau_2,90,Pachyseris speciosa,11060113.2,57.15529224,23.77165468,2.90674498402584,5.167695050354458e-6,2.149313867782113e-6,0.02951,0.09485,1.1336,0.004271988868067062,0.209428959050292,0.04847517692363564
1839,Tikehau_2,90,Pachyseris speciosa,4370929.616,20.43607378,8.723840585,2.90674498402584,4.675452495321078e-6,1.9958776167582194e-6,0.03084,0.07921,2.1133333333333333,0.006452079768054123,NA,0.03448298936512836
1840,Tikehau_2,90,Pachyseris speciosa,12473496.64,62.31861175,26.94139938,2.90674498402584,4.9960819767375185e-6,2.1598915009608724e-6,0.04578,0.10193,0.875375,0.014341300111527159,NA,0.03087883309539616
1841,Tikehau_2,90,Pachyseris speciosa,6720562.887,31.10037018,11.05111998,2.90674498402584,4.627643651718425e-6,1.6443741641606931e-6,0.03037,0.11707000000000001,0.719125,0.007758156997638034,NA,0.04137165025043653
1842,Tikehau_2,90,Pachyseris speciosa,21991018.95,78.76686559,39.16630958,2.90674498402584,3.5817742583501344e-6,1.781013861570066e-6,0.0313,0.077875,NA,0.006345251943163662,NA,NA
1843,Tikehau_2,90,Pachyseris speciosa,8896344.873,41.69681142,17.40913305,2.90674498402584,4.686959871187989e-6,1.956886035616259e-6,0.03204,0.10757,1.68875,0.005394688746041488,NA,0.028314387783520155
1844,Tikehau_2,90,Pachyseris speciosa,17035121.07,78.72412637,35.55324994,2.90674498402584,4.621283643744599e-6,2.0870559002138047e-6,0.04142,0.05914,NA,0.010674559579777622,NA,NA
1845,Tikehau_2,60,Pachyseris speciosa,6902193.569,18.76688321,6.839141461,10.2257986409944,2.7189737613688762e-6,9.90864917454186e-7,0.10034,0.09845,2.3685714285714288,0.14070182183137028,NA,0.02744093657293788
1846,Tikehau_2,60,Pachyseris speciosa,6454510.73,19.08479164,7.316055286,10.2257986409944,2.956814612034892e-6,1.1334794521288215e-6,0.04757,0.08641,1.486,0.011798215495950603,0.26500314463543007,0.05175352806009138
1847,Tikehau_2,60,Pachyseris speciosa,4551072.947,11.50219358,4.067437914,10.2257986409944,2.527358650135915e-6,8.937316455630963e-7,0.05536,0.1693,2.741,0.01134599292946878,0.2848956924131279,0.0341436507844268
1848,Tikehau_2,60,Pachyseris speciosa,5884129.786,16.21257597,6.639812686,10.2257986409944,2.755305637304989e-6,1.1284272997849201e-6,0.05804,0.15621000000000002,2.079,0.006876885600004961,0.33524286387301044,0.04837631307434111
1849,Tikehau_2,60,Pachyseris speciosa,5960956.015,18.0385368,5.955189137,10.2257986409944,3.026114729685688e-6,9.990325582028305e-7,0.05038,0.12407,1.9744444444444444,0.008032821560461941,NA,0.04305474680244006
1850,Tikehau_2,60,Pachyseris speciosa,6958536.83,15.66244115,4.544225085,10.2257986409944,2.2508239206948335e-6,6.530431893970446e-7,0.05829,0.1794,1.949,0.00850103915216644,0.1612761606685874,0.051976917954030324
1851,Tikehau_2,60,Pachyseris speciosa,6928278.461,14.77348176,5.916545604,10.2257986409944,2.132345263424596e-6,8.539705263442933e-7,0.053470000000000004,0.1076,2.09,0.014740801274768692,NA,0.05196513788642878
