ID_LAB,Island_Site,Depth,Species,Zoox,Chl_A,Chl_C2,Relative_Index_Light,RatioChlA,RatioChlC2,Size_Ba,Distance_Ba,Size_Ap,Distance_Ap,Size_Ba_sd,Distance_Ba_sd,Size_Ap_sd,Distance_Ap_sd
100,Moorea_2,20,Pocillopora verrucosa,1941154.119,10.8463432,3.851712346,49.5869513999609,5.587574471205601e-6,1.9842382983913913e-6,0.5828,0.9476,0.7037,0.2343,0.06776888830593446,0.31725391162985594,0.10877606967220932,0.034377156498013164
102,Moorea_2,20,Pocillopora verrucosa,2928682.011,17.63141835,6.23595428,49.5869513999609,6.020256990611194e-6,2.1292698410336224e-6,0.584,0.6194999999999999,0.7884,0.2571,0.10482684134641598,0.1808217354191691,0.19621881210073164,0.05247528518793924
108,Moorea_2,60,Pocillopora verrucosa,4370749.569,22.89179268,8.400384233,12.2173416036179,5.237498126720057e-6,1.9219550560802216e-6,0.7733,0.6576,0.8874,0.252,0.08956443986811333,0.19852522929508648,0.08645127079587796,0.10273482585980494
110,Moorea_2,20,Pocillopora verrucosa,2061367.111,9.296978185,3.52201572,49.5869513999609,4.510103093907372e-6,1.7085824748079045e-6,0.694,0.6567000000000001,0.9204,0.2228,0.11071685608895432,0.16708949697691952,0.13974039422363801,0.05999777773662398
111,Moorea_2,20,Pocillopora verrucosa,3232857.444,11.96628987,4.934594016,49.5869513999609,3.701459181940965e-6,1.5263877549436417e-6,0.6086,0.3767,0.6413,0.24330000000000002,0.08404125970815368,0.12301043316185285,0.07972738272109248,0.10770437936004892
112,Moorea_2,20,Pocillopora verrucosa,1811732.152,7.191712162,2.973797387,49.5869513999609,3.969522842579657e-6,1.6414111676039847e-6,0.5457,0.7501,0.6798,0.2611,0.06884289683362,0.3078803699851977,0.14891294996294535,0.042813419495397576
113,Moorea_2,20,Pocillopora verrucosa,1084677.915,5.622492886,1.940434347,49.5869513999609,5.1835598459658875e-6,1.7889498072798873e-6,0.692,0.6842,0.6497,0.2544,0.06395658249503679,0.2019289203875683,0.10750405677099922,0.08715783894113535
116,Moorea_2,20,Pocillopora verrucosa,1911724.987,15.16360994,6.003483341,49.5869513999609,7.931899223536174e-6,3.140348837737925e-6,0.5439,0.6672,0.7635,0.2745,0.09520206580391695,0.2261389936398507,0.08576485941871015,0.11620217056683771
118,Moorea_2,20,Pocillopora verrucosa,1009029.722,8.733302179,0.938032932,49.5869513999609,8.655148593333509e-6,9.296385542942412e-7,0.6834,0.5915,1.0505,0.32080000000000003,0.1032076655206493,0.22870177087202453,0.15167380935561828,0.1256359821070381
124,Moorea_2,20,Pocillopora verrucosa,2961006.505,20.09602215,7.443674254,49.5869513999609,6.786888889323801e-6,2.51390000036491e-6,0.6637,0.7337,0.9548,0.247,0.1055557251460626,0.17256885904215485,0.30325962474421153,0.051755837029910615
128,Moorea_2,40,Pocillopora verrucosa,2934434.547,14.31556445,4.04299255,23.9135106993185,4.878474616050109e-6,1.3777756788384758e-6,0.7895,0.6672,0.7608,0.1687,0.15345592925078594,0.27973630440112707,0.07864095625054417,0.041952486351956676
140,Moorea_2,40,Pocillopora verrucosa,4453281.017,21.12732465,6.425883572,23.9135106993185,4.744215460319781e-6,1.4429548792159685e-6,0.661,0.5078,0.8444,0.18415,0.08321191154048935,0.14039294062657773,0.09996132585488583,0.0866557845732182
143,Moorea_2,40,Pocillopora verrucosa,2710037.911,16.78150047,NA,23.9135106993185,6.192348971165371e-6,NA,0.8142,0.823,0.7974,0.1538,0.1386881393631049,0.1636120071660051,0.06460856496368471,0.04117658450030929
146,Moorea_2,60,Pocillopora verrucosa,3151951.595,17.34490976,6.169511681,12.2173416036179,5.502911208254136e-6,1.9573624451551897e-6,0.6801,0.7217,0.8303,0.3029,0.07960799792315677,0.26215095312094944,0.05952973113402151,0.19050835502238042
