Sample ID;Weight (mg);N2 Amp;%N;δ15N vs. At. Air;CO2 Amp;%C;δ13C vs. VPDB
1860-Z;37.835;4,100;0.29;10.11;3,523;1.87;-17.76
1830-P;32.371;1,603;0.13;15.19;1,903;1.10;-15.67
237-Z;43.754;5,476;0.33;5.46;4,213;1.95;-13.90
108-Z;41.826;3,129;0.20;6.76;3,055;1.43;-18.71
108-P;41.079;576;0.04;11.85;511;0.22;-18.02
1836-Z;26.769;2,490;0.24;9.42;2,565;1.82;-19.82
1860-P;36.035;749;0.06;8.57;523;0.26;-17.61
237-P;38.059;612;0.04;4.61;389;0.18;-14.62
238-P;38.832;530;0.04;3.64;390;0.18;-15.48
1840-Z;37.814;1,469;0.10;9.05;1,653;0.83;-19.59
1771-Z;29.642;6,202;0.54;10.30;5,037;3.43;-14.03
1859-Z;37.914;5,497;0.37;8.96;4,327;2.32;-17.05
1840-P;25.328;288;0.03;NA;276;0.19;-20.43
1771-P;34.992;1,110;0.08;10.80;617;0.32;-14.21
1769-Z;32.609;11,652;0.89;9.51;9,698;7.67;-15.36
1836-P;40.353;1,128;0.08;8.96;1,263;0.58;-19.30
1769-P;35.426;975;0.07;12.86;573;0.29;-15.68
2566-P;42.945;1,239;0.08;9.69;1,348;0.58;-20.30
163-Z;41.978;3,303;0.20;4.29;3,047;1.42;-17.76
163-P;41.83;789;0.05;12.57;697;0.30;-23.56
238-Z;41;6,606;0.41;4.75;5,591;2.85;-14.72
2566-Z;42.335;2,181;0.14;13.10;2,357;1.08;-23.68
2466-P;35.472;874;0.06;13.74;838;0.42;-17.42
2466-Z;37.187;2,343;0.17;10.37;2,282;1.20;-16.92
2465-Z;38.756;3,189;0.21;9.12;3,012;1.52;-16.65
2465-P;37.863;1,684;0.12;10.27;1,742;0.86;-16.89
2474-Z;38.181;2,544;0.17;10.47;2,269;1.16;-16.46
2475-P;41.462;1,478;0.09;5.02;1,714;0.77;-15.80
2474-P;44.853;1,650;0.09;NA;1,534;0.63;-16.19
2475-Z;35.877;2,104;0.16;13.20;2,049;1.10;-15.67
2565-Z;41.028;2,940;0.18;8.77;2,789;1.34;-21.12
2565-P;48.481;1,666;0.09;8.91;1,944;0.75;-20.67
1827-P;27.255;1,384;0.13;8.78;1,410;0.95;-19.50
1827-Z;30.204;4,658;0.39;9.29;4,494;3.00;-18.94
1830-Z;27.674;3,000;0.28;9.78;3,203;2.29;-17.23
2577-Z;44.108;3,667;0.21;9.18;3,105;1.40;-17.74
