ID_LAB;"W. Filter ""ID P""";"W. Filter ""ID Z""";"Volume ""ID P""";"Volume ""ID Z""";"W. Filter After ""ID P""";"W. Filter After ""ID Z""";Sufaces
235;0.859;1.562;2;1.3;0.863;0.863;3.359689
237;0.573;1.633;2;1.5;0.575;0.575;1.113949
238;0.633;1.99;2;1.5;0.634;0.634;2.790505
239;0.757;1.75;2;2;0.76;0.76;1.285918
240;0.537;1.263;2;1.5;0.539;0.59;1.829603
118;0.67;1.386;2;2;0.669;0.669;2.056431
163;1.486;1.49;2;2;1.488;1.494;0.942501
165;0.885;1.149;2;0.9;0.889;1.152;1.368547
166;0.823;1.302;2;2;0.824;1.31;2.590085
167;0.95;1.207;2;2;0.953;1.211;2.37184
168;1.142;1.289;2;2;1.144;1.294;2.643406
108;1.132;1.269;2;2;1.135;1.273;1.018132
1143;1.266;0.838;2;2;1.271;0.843;1.408226
1144;1.361;1.364;2;2;1.366;1.371;1.749856
1145;1.15;1.277;2;2;1.154;1.282;2.123878
1146;1.24;0.932;2;2;1.243;0.938;1.067004
1147;1.262;1.628;2;2;1.265;1.364;1.758978
1148;1.062;1.248;2;2;1.064;1.255;1.648776
1019;1.339;1.37;2;2;1.34;1.377;0.697707
1020;1.647;1.453;2;2;1.648;1.458;1.096338
1021;1.492;1.25;2;2;1.494;1.257;2.086068
1022;1.676;1.465;2;2;1.677;1.47;0.752637
1023;1.406;1.392;2;2;1.406;1.399;1.453065
1025;1.433;1.294;2;2;1.434;1.3;1.092337
2573;1.322;1.339;2;2;1.326;1.343;1.137714
2574;1.534;1.487;2;2;1.538;1.495;0.800833
2575;1.572;1.306;2;2;1.575;1.317;1.549382
2576;1.363;1.224;1.5;2;1.367;1.233;1.647808
2577;1.605;1.345;1.5;2;1.608;1.352;1.476098
2578;1.382;1.44;1.5;1.5;1.389;1.445;1.486443
2564;1.429;1.425;2;2;1.432;1.429;0.399577
2565;1.496;1.392;2;2;1.503;1.396;0.615619
2566;1.3;1.11;2;2;1.304;1.113;0.498376
2567;1.415;1.357;1.5;2;1.421;1.363;0.851455
2568;1.357;1.421;1.5;2;1.362;1.425;0.653506
2569;1.489;1.26;2;2;1.494;1.264;0.422898
1718;0.775;2.114;2;2;0.775;2.117;1.205407
1856;1.667;1.95;2;2;1.666;1.954;1.606369
1859;1.126;1.412;2;2;1.128;1.417;1.579123
1860;1.318;1.579;2;2;1.319;1.584;1.332139
1860;1.586;1.621;2;2;1.587;1.623;1.201995
1862;1.156;1.435;2;0.5;1.156;1.439;1.159341
1769;1.723;1.419;2;2;1.723;1.426;1.349865
1771;1.932;1.575;2;2;1.933;1.579;1.321315
1772;2.286;1.521;2;2;2.286;1.523;1.767281
1773;1.752;1.616;2;2;1.752;1.619;1.900724
1774;1.374;1.659;2;2;1.374;1.668;2.842761
1775;1.632;1.899;2;2;1.632;1.902;1.384045
128;1.882;1.789;2;2;1.884;1.766;2.405347
140;1.512;1.75;2;2;1.512;1.752;1.337497
143;1.844;1.259;2;2;1.845;1.263;2.86501
172;1.637;1.447;2;2;1.638;1.449;2.348426
232;1.358;1.491;2;2;1.357;1.495;2.218731
233;1.492;1.462;2;2;1.492;1.468;1.662433
1827;1.659;1.604;2;2;1.659;1.607;1.632661
1828;1.433;1.432;2;1.5;1.438;1.435;1.633387
1830;1.752;1.263;2;1.5;1.755;1.265;0.991763
1831;1.38;1.893;1.5;1.5;1.382;1.894;1.457025
1832;1.855;1.587;1.5;1.5;1.859;1.59;1.682508
1833;1.55;1.89;1.5;1.5;1.553;1.892;1.621684
1836;1.183;1.7;2;2;1.188;1.702;0.499437
1837;1.278;1.435;1.5;2;1.28;1.436;0.727204
1838;1.362;1.53;2;2;1.362;1.532;0.464507
1839;1.415;1.822;2;2;1.416;1.822;0.887969
1840;1.38;1.899;2;2;1.38;1.899;0.22167
1841;1.388;1.812;2;2;1.387;1.815;0.556749
1864;0.929;0.981;2;2;0.938;0.989;1.170385
1865;0.806;0.933;2;1.5;0.821;0.936;0.750681
1866;0.927;0.96;1.5;1.5;0.929;0.962;0.736888
1867;0.974;0.976;1.5;1.5;0.975;0.976;0.859357
1868;0.941;1.03;1.5;1.5;0.943;1.032;0.747214
1869;0.819;0.956;1.5;1.5;0.819;0.956;0.905561
1845;1.017;0.784;2;2;1.02;0.786;0.931769
1846;0.964;0.921;2;2;0.967;0.924;0.70687
1847;0.893;1.02;2;2;0.895;1.025;1.084909
1848;0.953;1.079;2;2;0.958;1.086;0.954545
1849;1.207;1.014;2;2;1.21;1.016;0.901701
1850;0.892;0.931;2;2;0.893;0.934;0.720937
2463;0.983;1.507;2;2;0.993;1.51;0.498135
2464;0.949;1.608;2;2;0.956;1.611;0.715588
2465;0.951;1.154;1.5;2;0.954;1.157;0.614229
2466;0.929;0.928;1.5;2;0.93;0.931;0.364215
2467;0.839;0.917;2;2;0.841;0.922;0.555306
2468;0.832;1.261;1.5;2;0.834;1.262;0.618092
2473;0.889;1.074;2;2;0.894;1.078;0.771504
2474;0.884;1.076;1.5;2;0.892;1.08;0.588925
2475;1.227;1.126;1.5;2;1.233;1.127;0.644473
2476;0.851;1.107;1.5;2;0.853;1.111;0.583397
2477;1.006;0.923;2;2;1.006;0.926;0.713353
2478;0.945;0.98;1.5;2;0.947;0.981;0.509049
1737;1.104;0.873;2;2;1.107;0.875;0.643584
1738;1.477;0.951;2;2;1.478;0.954;0.534899
1739;0.816;0.778;2;2;0.818;0.782;0.268028
1740;0.972;0.888;2;2;0.973;0.889;0.401841
1741;1.018;0.877;2;2;1.02;0.881;0.426582
1742;0.995;1.177;2;2;0.996;1.18;0.809092
1080;0.821;1.094;2;2;0.823;1096;1.318671
1081;0.83;1.112;2;2;0.83;1.113;1.02895
1082;1.054;1.073;2;2;1.054;1.076;1.005061
1083;0.884;0.811;2;2;0.885;0.812;0.695508
1084;1.078;1.093;2;2;1.078;1.097;1.695149
1085;1.099;1.231;3;2;1.099;1.236;1.139278
1612;0.856;0.969;3;2;0.858;0.972;1.807653
1614;0.893;1.294;2;2;0.893;1.308;1.691227
1615;1.036;1.404;2;2;1.036;1.407;1.443614
1616;1.316;1.294;2;2;1.318;1.302;1.729281
1617;0.885;0.964;2;2;0.886;0.967;1.703072
1618;0.857;1.057;2;2;0.857;1.061;2.272338
919;0.988;1.039;2;2;0.995;1.04;3.852439
920;0.931;1.588;2;2;0.933;1.589;4.099429
923;0.834;1.013;2;2;0.836;1.014;5.842561
924;0.756;0.919;2;2;0.758;0.921;4.345147
925;0.877;1.108;2;2;0.877;1.115;6.021244
926;0.968;1.309;2;2;0.968;1.314;3.590788
89;0.726;1.055;2;2;0.728;1.059;1.378071
100;0.868;0.803;2;2;0.868;0.806;1.00885
110;0.668;0.952;2;2;0.671;0.956;1.023603
112;0.802;0.808;2;2;0.802;0.813;1.812262
113;0.836;0.914;2;2;0.841;0.919;3.979676
146;0.813;0.95;2;2;0.817;0.953;1.816335
102;0.754;1.025;2;2;0.756;1.027;1.882246
124;0.768;0.804;2;2;0.769;0.808;1.013169
169;0.756;0.93;2;2;0.757;0.934;1.306777
1086;0.817;0.826;2;2;0.818;0.83;1.254008
1087;0.713;1.047;2;2;0.716;1.05;0.919102
1088;0.83;0.973;2;2;0.831;0.978;1.084783
109;1.204;1.125;2;2;1.206;1.13;0.917853
123;0.902;1.183;2;2;0.903;1.189;0.435111
137;1.126;0.798;2;2;1.127;0.801;0.9886
138;0.726;0.85;2;2;0.727;0.85;0.587364
136;0.974;1.018;2;2;0.976;1.018;0.775449
152;0.813;0.852;2;2;0.814;0.854;0.863571
126;0.892;0.884;2.5;2;0.892;0.887;0.74115
182;0.798;0.967;2;2;0.798;0.968;0.611397
183;0.753;0.919;2;2;0.752;0.922;0.643075
215;0.847;0.84;2;2;0.847;0.841;0.598477
216;0.814;0.973;;2;0.814;0.978;0.754889
217;0.86;1.07;2;2;0.861;1.07;0.783119
93;0.707;0.935;2;2;0.708;0.937;0.539184
94;0.865;0.742;2;2;0.866;0.746;0.408439
96;0.869;0.989;2;2;0.871;0.991;0.178323
201;0.775;1.017;2;2;0.776;1.02;0.645133
202;0.782;1.021;2;2;0.783;1.026;0.462473
203;0.766;1.016;2;2;0.767;1.023;0.676628
1027;0.741;1.124;2;2;0.742;1.131;0.932708
1028;0.772;0.912;2;2;0.774;0.917;0.374344
1029;0.783;1.039;2;2;0.784;1.044;0.658552
1030;0.869;0.928;2;2;0.868;0.931;0.812976
1031;0.706;1;2;2;0.707;1.008;1.003183
1032;0.816;1.05;2;2;0.816;1.054;1.007362
909;0.881;0.779;2;2;0.881;0.785;0.528057
