ID_LAB,Island_Site,Depth,Extraction,δ13C,δ15N,Ratio_C_N,Delta13C_Pol_Zoox,Delta15N_Pol_Zoox,Ratio13C_Pol_Zoox,Ratio15N_Pol_Zoox
1027,Bora_2,60,Zoox,-19.17,5.02,6.538461538461538,0.380000000000003,0.0700000000000003,0.98017736045905,1.01394422310757
1027,Bora_2,60,Polyps,-18.79,5.09,4.666666666666667,0.380000000000003,0.0700000000000003,0.98017736045905,1.01394422310757
1028,Bora_2,60,Polyps,-18.1,5.64,4.333333333333334,0.259999999999998,-0.2,0.985838779956427,0.965753424657534
1028,Bora_2,60,Zoox,-18.36,5.84,6.689655172413794,0.259999999999998,-0.2,0.985838779956427,0.965753424657534
1029,Bora_2,60,Polyps,-19.12,4.76,4.500000000000001,0.0799999999999983,0.149999999999999,0.995833333333333,1.03253796095445
1029,Bora_2,60,Zoox,-19.2,4.61,7.333333333333334,0.0799999999999983,0.149999999999999,0.995833333333333,1.03253796095445
1030,Bora_2,60,Zoox,-18.69,5.26,7,0.380000000000003,-0.17,0.979668271803103,0.967680608365019
1030,Bora_2,60,Polyps,-18.31,5.09,5.6000000000000005,0.380000000000003,-0.17,0.979668271803103,0.967680608365019
1031,Bora_2,60,Polyps,-17.99,5.46,6.199999999999999,0.600000000000001,-0.29,0.967724583109198,0.949565217391304
1031,Bora_2,60,Zoox,-18.59,5.75,8.136363636363637,0.600000000000001,-0.29,0.967724583109198,0.949565217391304
1032,Bora_2,60,Polyps,-19.6,5.56,7.124999999999999,0.779999999999998,0.13,0.961727183513248,1.02394106813996
1032,Bora_2,60,Zoox,-20.38,5.43,7.968749999999999,0.779999999999998,0.13,0.961727183513248,1.02394106813996
1033,Bora_2,60,Polyps,-18.96,5.98,5,0.73,0.220000000000001,0.962925342813611,1.03819444444444
1033,Bora_2,60,Zoox,-19.69,5.76,6.523809523809525,0.73,0.220000000000001,0.962925342813611,1.03819444444444
109,Moorea_2,60,Polyps,-18.78,4.32,5.2,0.199999999999999,-0.16,0.989462592202318,0.964285714285714
109,Moorea_2,60,Zoox,-18.98,4.48,8,0.199999999999999,-0.16,0.989462592202318,0.964285714285714
117,Moorea_2,40,Polyps,-18.2,4.83,4.8,0.740000000000002,0.2,0.960929250263991,1.04319654427646
117,Moorea_2,40,Zoox,-18.94,4.63,7.5625,0.740000000000002,0.2,0.960929250263991,1.04319654427646
123,Moorea_2,60,Zoox,-18.54,3.9,7.416666666666667,0.16,-0.34,0.991370010787487,0.912820512820513
123,Moorea_2,60,Polyps,-18.38,3.56,4.75,0.16,-0.34,0.991370010787487,0.912820512820513
126,Moorea_2,40,Zoox,-15.75,3.84,8.384615384615385,-1.38,-0.95,1.08761904761905,0.752604166666667
126,Moorea_2,40,Polyps,-17.13,2.89,5.75,-1.38,-0.95,1.08761904761905,0.752604166666667
136,Moorea_2,60,Zoox,-18.88,3.83,6.88235294117647,0.419999999999998,0.26,0.977754237288136,1.06788511749347
136,Moorea_2,60,Polyps,-18.46,4.09,6.25,0.419999999999998,0.26,0.977754237288136,1.06788511749347
137,Moorea_2,60,Zoox,-18.93,4.85,7.555555555555555,-0.0599999999999987,-0.3,1.00316957210777,0.938144329896907
137,Moorea_2,60,Polyps,-18.99,4.55,5,-0.0599999999999987,-0.3,1.00316957210777,0.938144329896907
138,Moorea_2,60,Zoox,-19.24,3.94,7,0.189999999999998,0.2,0.99012474012474,1.0507614213198
138,Moorea_2,60,Polyps,-19.05,4.14,5,0.189999999999998,0.2,0.99012474012474,1.0507614213198
145,Moorea_2,60,Polyps,-18.73,3.62,6.25,-0.140000000000001,0.12,1.00753093060785,1.03428571428571
145,Moorea_2,60,Zoox,-18.59,3.5,6.5,-0.140000000000001,0.12,1.00753093060785,1.03428571428571
152,Moorea_2,60,Polyps,-18.39,4.51,5.333333333333334,0.41,0.51,0.978191489361702,1.1275
152,Moorea_2,60,Zoox,-18.8,4,7.052631578947369,0.41,0.51,0.978191489361702,1.1275
1737,Tikehau_2,40,Zoox,-20.93,8.5,6.24,0.84,-0.00999999999999979,0.959866220735786,0.998823529411765
1737,Tikehau_2,40,Polyps,-20.09,8.49,4.8999999999999995,0.84,-0.00999999999999979,0.959866220735786,0.998823529411765
1738,Tikehau_2,40,Zoox,-19.27,5.81,5.8,0.669999999999998,1.99,0.965230928905034,1.34251290877797
1738,Tikehau_2,40,Polyps,-18.6,7.8,3.666666666666667,0.669999999999998,1.99,0.965230928905034,1.34251290877797
1739,Tikehau_2,40,Polyps,-17.78,7.86,3.8333333333333335,0.399999999999999,-0.47,0.977997799779978,0.943577430972389
1739,Tikehau_2,40,Zoox,-18.18,8.33,5.3809523809523805,0.399999999999999,-0.47,0.977997799779978,0.943577430972389
1740,Tikehau_2,40,Polyps,-17.21,7.42,4.999999999999999,0.0500000000000007,-0.82,0.997103128621089,0.900485436893204
1740,Tikehau_2,40,Zoox,-17.26,8.24,5.8125,0.0500000000000007,-0.82,0.997103128621089,0.900485436893204
1741,Tikehau_2,40,Polyps,-17.04,8.11,4.857142857142857,0.330000000000002,-0.5,0.981001727115717,0.941927990708479
1741,Tikehau_2,40,Zoox,-17.37,8.61,5.904761904761905,0.330000000000002,-0.5,0.981001727115717,0.941927990708479
1742,Tikehau_2,40,Zoox,-17.84,9.01,6.8965517241379315,0.93,-0.129999999999999,0.947869955156951,0.985571587125416
1742,Tikehau_2,40,Polyps,-16.91,8.88,5.454545454545454,0.93,-0.129999999999999,0.947869955156951,0.985571587125416
1743,Tikehau_2,40,Zoox,-17.61,9.53,6.32,0.280000000000001,10.59,0.984099943214083,2.1112277019937
1743,Tikehau_2,40,Polyps,-17.33,20.12,4.333333333333334,0.280000000000001,10.59,0.984099943214083,2.1112277019937
182,Moorea_2,40,Zoox,-18.93,4.49,7.769230769230769,0.66,0.00999999999999979,0.96513470681458,1.0022271714922
182,Moorea_2,40,Polyps,-18.27,4.5,5.6000000000000005,0.66,0.00999999999999979,0.96513470681458,1.0022271714922
1827,Tikehau_2,20,Polyps,-19.5,8.78,7.3076923076923075,-0.559999999999999,-0.51,1.02956705385428,0.945102260495156
1827,Tikehau_2,20,Zoox,-18.94,9.29,7.692307692307692,-0.559999999999999,-0.51,1.02956705385428,0.945102260495156
1828,Tikehau_2,20,Polyps,-18.15,7.37,7.333333333333334,0.360000000000003,-0.760000000000001,0.980551053484603,0.906519065190652
1828,Tikehau_2,20,Zoox,-18.51,8.13,6.888888888888889,0.360000000000003,-0.760000000000001,0.980551053484603,0.906519065190652
183,Moorea_2,40,Zoox,-20.5,2.19,6.555555555555555,0.460000000000001,0.92,0.977560975609756,1.42009132420091
183,Moorea_2,40,Polyps,-20.04,3.11,4.5,0.460000000000001,0.92,0.977560975609756,1.42009132420091
1830,Tikehau_2,20,Polyps,-15.67,15.19,8.461538461538462,1.56,5.41,0.909460243760882,1.55316973415133
1830,Tikehau_2,20,Zoox,-17.23,9.78,8.178571428571427,1.56,5.41,0.909460243760882,1.55316973415133
1831,Tikehau_2,20,Zoox,-17.95,9.34,7.162790697674419,-0.220000000000002,-1.22,1.01225626740947,0.869379014989293
1831,Tikehau_2,20,Polyps,-18.17,8.12,5.466666666666667,-0.220000000000002,-1.22,1.01225626740947,0.869379014989293
1832,Tikehau_2,20,Polyps,-16.68,8.63,5.466666666666667,-0.27,-0.94,1.0164533820841,0.901776384535005
1832,Tikehau_2,20,Zoox,-16.41,9.57,6.727272727272727,-0.27,-0.94,1.0164533820841,0.901776384535005
1833,Tikehau_2,20,Polyps,-17.28,7.41,9.499999999999998,0.16,-4.81,0.990825688073394,0.606382978723404
1833,Tikehau_2,20,Zoox,-17.44,12.22,6.595744680851064,0.16,-4.81,0.990825688073394,0.606382978723404
1834,Tikehau_2,20,Polyps,-18.78,8.06,4.3999999999999995,-0.380000000000003,-0.0399999999999991,1.02065217391304,0.995061728395062
1834,Tikehau_2,20,Zoox,-18.4,8.1,6.107142857142857,-0.380000000000003,-0.0399999999999991,1.02065217391304,0.995061728395062
1836,Tikehau_2,90,Zoox,-19.82,9.42,7.583333333333334,0.52,-0.459999999999999,0.973763874873865,0.951167728237792
1836,Tikehau_2,90,Polyps,-19.3,8.96,7.249999999999999,0.52,-0.459999999999999,0.973763874873865,0.951167728237792
1837,Tikehau_2,90,Zoox,-20.08,8.87,6.269230769230768,0.129999999999999,-0.819999999999999,0.993525896414343,0.907553551296505
1837,Tikehau_2,90,Polyps,-19.95,8.05,5,0.129999999999999,-0.819999999999999,0.993525896414343,0.907553551296505
1838,Tikehau_2,90,Zoox,-19.48,8.72,6.142857142857143,-0.629999999999999,-2.39,1.032340862423,0.72591743119266
1838,Tikehau_2,90,Polyps,-20.11,6.33,3.75,-0.629999999999999,-2.39,1.032340862423,0.72591743119266
1839,Tikehau_2,90,Polyps,-21.4,7.49,5,-0.0599999999999987,-0.46,1.00281162136832,0.942138364779874
1839,Tikehau_2,90,Zoox,-21.34,7.95,5.25,-0.0599999999999987,-0.46,1.00281162136832,0.942138364779874
1841,Tikehau_2,90,Polyps,-20.41,6.06,3.3333333333333335,-0.210000000000001,-2.67,1.01039603960396,0.694158075601375
1841,Tikehau_2,90,Zoox,-20.2,8.73,6.263157894736842,-0.210000000000001,-2.67,1.01039603960396,0.694158075601375
1842,Tikehau_2,90,Polyps,-20.66,5.21,3.3333333333333335,0.0700000000000003,-2.69,0.99662325132658,0.659493670886076
1842,Tikehau_2,90,Zoox,-20.73,7.9,6.076923076923077,0.0700000000000003,-2.69,0.99662325132658,0.659493670886076
1843,Tikehau_2,90,Polyps,-19.63,8.31,3.8,0.0899999999999999,-0.0299999999999994,0.995436105476673,0.996402877697842
1843,Tikehau_2,90,Zoox,-19.72,8.34,6.166666666666668,0.0899999999999999,-0.0299999999999994,0.995436105476673,0.996402877697842
1844,Tikehau_2,90,Polyps,-19.93,7.52,5,0.52,-0.170000000000001,0.974572127139364,0.977893368010403
1844,Tikehau_2,90,Zoox,-20.45,7.69,6.08695652173913,0.52,-0.170000000000001,0.974572127139364,0.977893368010403
1845,Tikehau_2,60,Polyps,-18.58,8.61,5.75,-0.169999999999998,-0.450000000000001,1.00923411189571,0.950331125827814
1845,Tikehau_2,60,Zoox,-18.41,9.06,6.787878787878788,-0.169999999999998,-0.450000000000001,1.00923411189571,0.950331125827814
1846,Tikehau_2,60,Zoox,-17.79,8.73,6.666666666666666,0.0500000000000007,-0.79,0.997189432265318,0.90950744558992
1846,Tikehau_2,60,Polyps,-17.74,7.94,5.444444444444445,0.0500000000000007,-0.79,0.997189432265318,0.90950744558992
1847,Tikehau_2,60,Zoox,-17.3,8.51,6.343749999999999,-0.34,-1.01,1.01965317919075,0.881316098707403
1847,Tikehau_2,60,Polyps,-17.64,7.5,5.571428571428571,-0.34,-1.01,1.01965317919075,0.881316098707403
1848,Tikehau_2,60,Zoox,-18.3,8.78,6.888888888888888,0.27,-0.59,0.985245901639344,0.932801822323462
1848,Tikehau_2,60,Polyps,-18.03,8.19,6.090909090909091,0.27,-0.59,0.985245901639344,0.932801822323462
1849,Tikehau_2,60,Zoox,-18.14,9.02,7,-0.0300000000000011,-1.46,1.00165380374862,0.838137472283814
1849,Tikehau_2,60,Polyps,-18.17,7.56,6.999999999999999,-0.0300000000000011,-1.46,1.00165380374862,0.838137472283814
1850,Tikehau_2,60,Polyps,-19.34,7.46,5.285714285714286,0.280000000000001,-0.55,0.985728848114169,0.931335830212235
1850,Tikehau_2,60,Zoox,-19.62,8.01,6.791666666666666,0.280000000000001,-0.55,0.985728848114169,0.931335830212235
1851,Tikehau_2,60,Polyps,-19.46,3.05,5.75,1.24,-4.87,0.940096618357488,0.38510101010101
1851,Tikehau_2,60,Zoox,-20.7,7.92,8.705882352941176,1.24,-4.87,0.940096618357488,0.38510101010101
1864,Tikehau_2,10,Zoox,-18.53,8.44,5.757575757575757,0.460000000000001,5.14,0.97517539125742,1.60900473933649
1864,Tikehau_2,10,Polyps,-18.07,13.58,6.190476190476191,0.460000000000001,5.14,0.97517539125742,1.60900473933649
1865,Tikehau_2,10,Polyps,-16.84,8.71,4.461538461538461,0.59,-0.239999999999998,0.966150315547906,0.9731843575419
