ID_LAB,Island_Site,Depth,iso13C_Polyps,iso13C_Zoox,iso15N_Polyps,iso15N_Zoox,Ratio_CN_Polyps,Ratio_CN_Zoox,Delta13C_Pol_Zoox,Delta15N_Pol_Zoox
1027,Bora_2,60,-18.79,-19.17,5.09,5.02,4.666666666666667,6.538461538461538,0.380000000000003,0.0700000000000003
1028,Bora_2,60,-18.1,-18.36,5.64,5.84,4.333333333333334,6.689655172413794,0.259999999999998,-0.2
1029,Bora_2,60,-19.12,-19.2,4.76,4.61,4.500000000000001,7.333333333333334,0.0799999999999983,0.149999999999999
1030,Bora_2,60,-18.31,-18.69,5.09,5.26,5.6000000000000005,7,0.380000000000003,-0.17
1031,Bora_2,60,-17.99,-18.59,5.46,5.75,6.199999999999999,8.136363636363637,0.600000000000001,-0.29
1032,Bora_2,60,-19.6,-20.38,5.56,5.43,7.124999999999999,7.968749999999999,0.779999999999998,0.13
1033,Bora_2,60,-18.96,-19.69,5.98,5.76,5,6.523809523809525,0.73,0.220000000000001
109,Moorea_2,60,-18.78,-18.98,4.32,4.48,5.2,8,0.199999999999999,-0.16
117,Moorea_2,40,-18.2,-18.94,4.83,4.63,4.8,7.5625,0.740000000000002,0.2
123,Moorea_2,60,-18.38,-18.54,3.56,3.9,4.75,7.416666666666667,0.16,-0.34
126,Moorea_2,40,-17.13,-15.75,2.89,3.84,5.75,8.384615384615385,-1.38,-0.95
136,Moorea_2,60,-18.46,-18.88,4.09,3.83,6.25,6.88235294117647,0.419999999999998,0.26
137,Moorea_2,60,-18.99,-18.93,4.55,4.85,5,7.555555555555555,-0.0599999999999987,-0.3
138,Moorea_2,60,-19.05,-19.24,4.14,3.94,5,7,0.189999999999998,0.2
145,Moorea_2,60,-18.73,-18.59,3.62,3.5,6.25,6.5,-0.140000000000001,0.12
152,Moorea_2,60,-18.39,-18.8,4.51,4,5.333333333333334,7.052631578947369,0.41,0.51
1737,Tikehau_2,40,-20.09,-20.93,8.49,8.5,4.8999999999999995,6.24,0.84,-0.00999999999999979
1738,Tikehau_2,40,-18.6,-19.27,7.8,5.81,3.666666666666667,5.8,0.669999999999998,1.99
1739,Tikehau_2,40,-17.78,-18.18,7.86,8.33,3.8333333333333335,5.3809523809523805,0.399999999999999,-0.47
1740,Tikehau_2,40,-17.21,-17.26,7.42,8.24,4.999999999999999,5.8125,0.0500000000000007,-0.82
1741,Tikehau_2,40,-17.04,-17.37,8.11,8.61,4.857142857142857,5.904761904761905,0.330000000000002,-0.5
