ID_LAB,Island_Site,Depth,Extraction,δ13C,δ15N,Ratio_C_N,Delta13C_Pol_Zoox,Delta15N_Pol_Zoox,Ratio13C_Pol_Zoox,Ratio15N_Pol_Zoox
1019,Bora_2,6,Polyps,-14.99,3.56,2.4285714285714284,-0.58,-1.32,1.04024982650937,0.729508196721312
1019,Bora_2,6,Zoox,-14.41,4.88,5.769230769230769,-0.58,-1.32,1.04024982650937,0.729508196721312
102,Moorea_2,20,Polyps,-16.44,4.41,3.142857142857143,-0.0199999999999996,-0.48,1.00121802679659,0.901840490797546
102,Moorea_2,20,Zoox,-16.42,4.89,5.651162790697675,-0.0199999999999996,-0.48,1.00121802679659,0.901840490797546
1020,Bora_2,6,Zoox,-16.1,4.61,5.535714285714286,0.150000000000002,-3.15,0.990683229813664,0.316702819956616
1020,Bora_2,6,Polyps,-15.95,1.46,2.4,0.150000000000002,-3.15,0.990683229813664,0.316702819956616
1021,Bora_2,6,Zoox,-16.16,5.14,6.03921568627451,0.35,-0.54,0.978341584158416,0.894941634241245
1021,Bora_2,6,Polyps,-15.81,4.6,2.75,0.35,-0.54,0.978341584158416,0.894941634241245
1022,Bora_2,6,Zoox,-15.42,3.4,5.285714285714286,-0.630000000000001,21.06,1.0408560311284,7.19411764705882
1022,Bora_2,6,Polyps,-16.05,24.46,2.5,-0.630000000000001,21.06,1.0408560311284,7.19411764705882
1023,Bora_2,6,Polyps,-14.92,4.82,2.1999999999999997,-0.99,-0.33,1.0710696338837,0.935922330097087
1023,Bora_2,6,Zoox,-13.93,5.15,5.374999999999999,-0.99,-0.33,1.0710696338837,0.935922330097087
1025,Bora_2,6,Polyps,-15.3,18.46,2.5,0.219999999999999,15.24,0.985824742268041,5.73291925465838
1025,Bora_2,6,Zoox,-15.52,3.22,6,0.219999999999999,15.24,0.985824742268041,5.73291925465838
108,Moorea_2,60,Polyps,-18.02,11.85,5.5,0.690000000000001,5.09,0.963121325494388,1.75295857988166
108,Moorea_2,60,Zoox,-18.71,6.76,7.1499999999999995,0.690000000000001,5.09,0.963121325494388,1.75295857988166
1080,Bora_2,40,Polyps,-16.91,6.17,3.666666666666667,0.419999999999998,0.73,0.975764570109637,1.13419117647059
1080,Bora_2,40,Zoox,-17.33,5.44,5.2,0.419999999999998,0.73,0.975764570109637,1.13419117647059
1081,Bora_2,40,Polyps,-16.86,4.11,2.7777777777777777,0.280000000000001,-1.43,0.983663943990665,0.74187725631769
1081,Bora_2,40,Zoox,-17.14,5.54,5.372093023255814,0.280000000000001,-1.43,0.983663943990665,0.74187725631769
1082,Bora_2,40,Polyps,-16.99,4.71,3.3333333333333335,0.100000000000001,-0.24,0.994148624926858,0.951515151515151
1082,Bora_2,40,Zoox,-17.09,4.95,6.023255813953488,0.100000000000001,-0.24,0.994148624926858,0.951515151515151
1083,Bora_2,40,Polyps,-18.04,4.02,2.6,0.23,-0.86,0.987411056376574,0.823770491803279
1083,Bora_2,40,Zoox,-18.27,4.88,4.689655172413794,0.23,-0.86,0.987411056376574,0.823770491803279
1084,Bora_2,40,Polyps,-16.31,5.38,2.7,0.420000000000002,-0.100000000000001,0.97489539748954,0.981751824817518
1084,Bora_2,40,Zoox,-16.73,5.48,6.725,0.420000000000002,-0.100000000000001,0.97489539748954,0.981751824817518
1085,Bora_2,40,Polyps,-15.86,3.51,2.75,0.48,-1.46,0.97062423500612,0.706237424547284
1085,Bora_2,40,Zoox,-16.34,4.97,4.925,0.48,-1.46,0.97062423500612,0.706237424547284
1086,Bora_2,40,Polyps,-18.29,4.76,3.3333333333333335,-0.0899999999999999,-0.33,1.00494505494505,0.93516699410609
1086,Bora_2,40,Zoox,-18.2,5.09,4.666666666666667,-0.0899999999999999,-0.33,1.00494505494505,0.93516699410609
1087,Bora_2,40,Polyps,-16.87,4.98,3.5000000000000004,0.27,-0.109999999999999,0.984247374562427,0.978388998035364
1087,Bora_2,40,Zoox,-17.14,5.09,5.217391304347825,0.27,-0.109999999999999,0.984247374562427,0.978388998035364
1088,Bora_2,40,Zoox,-17.11,7.36,5.372093023255814,0.0199999999999996,-2.3,0.998831092928112,0.6875
1088,Bora_2,40,Polyps,-17.09,5.06,3.2857142857142856,0.0199999999999996,-2.3,0.998831092928112,0.6875
110,Moorea_2,20,Zoox,-17.75,4.31,5.826086956521739,0.710000000000001,7.52,0.96,2.74477958236659
110,Moorea_2,20,Polyps,-17.04,11.83,3.428571428571428,0.710000000000001,7.52,0.96,2.74477958236659
111,Moorea_2,20,Polyps,-17.07,4.7,4.857142857142857,0.280000000000001,0.0499999999999998,0.983861671469741,1.01075268817204
111,Moorea_2,20,Zoox,-17.35,4.65,5.633333333333334,0.280000000000001,0.0499999999999998,0.983861671469741,1.01075268817204
112,Moorea_2,20,Zoox,-16.66,4.75,5.826086956521739,0.890000000000001,0.19,0.946578631452581,1.04
112,Moorea_2,20,Polyps,-15.77,4.94,2.571428571428571,0.890000000000001,0.19,0.946578631452581,1.04
113,Moorea_2,20,Zoox,-17.54,6.15,5.636363636363637,0.119999999999997,-3.58,0.993158494868871,0.417886178861789
113,Moorea_2,20,Polyps,-17.42,2.57,2.8333333333333335,0.119999999999997,-3.58,0.993158494868871,0.417886178861789
1143,Bora_2,60,Polyps,-19.22,3.89,2.1999999999999997,0.560000000000002,-0.06,0.971688574317492,0.984810126582279
1143,Bora_2,60,Zoox,-19.78,3.95,4.916666666666667,0.560000000000002,-0.06,0.971688574317492,0.984810126582279
1144,Bora_2,60,Polyps,-17.99,4.18,2.714285714285714,0.57,-0.31,0.969288793103448,0.930957683741648
1144,Bora_2,60,Zoox,-18.56,4.49,5.260869565217391,0.57,-0.31,0.969288793103448,0.930957683741648
1145,Bora_2,60,Polyps,-17.7,4.35,2.375,0.789999999999999,-0.29,0.957274202271498,0.9375
1145,Bora_2,60,Zoox,-18.49,4.64,5.735294117647058,0.789999999999999,-0.29,0.957274202271498,0.9375
1146,Bora_2,60,Zoox,-18.54,3.45,5.4411764705882355,0.5,0.58,0.973031283710895,1.16811594202899
1146,Bora_2,60,Polyps,-18.04,4.03,2.4285714285714284,0.5,0.58,0.973031283710895,1.16811594202899
1147,Bora_2,60,Zoox,-18.51,4.29,5.45,0.190000000000001,-0.96,0.989735278227985,0.776223776223776
1147,Bora_2,60,Polyps,-18.32,3.33,2.166666666666667,0.190000000000001,-0.96,0.989735278227985,0.776223776223776
1148,Bora_2,60,Polyps,-18.51,3.82,2.3333333333333335,-0.460000000000001,-0.34,1.02548476454294,0.918269230769231
1148,Bora_2,60,Zoox,-18.05,4.16,5,-0.460000000000001,-0.34,1.02548476454294,0.918269230769231
116,Moorea_2,20,Polyps,-17.24,7.79,3.0000000000000004,0.280000000000001,-1.67,0.984018264840183,0.823467230443975
116,Moorea_2,20,Zoox,-17.52,9.46,5.8,0.280000000000001,-1.67,0.984018264840183,0.823467230443975
118,Moorea_2,20,Zoox,-18.53,3.9,5.09375,-0.419999999999998,-0.7,1.02266594711279,0.820512820512821
118,Moorea_2,20,Polyps,-18.95,3.2,2.1999999999999997,-0.419999999999998,-0.7,1.02266594711279,0.820512820512821
124,Moorea_2,20,Zoox,-18.3,4.36,5.678571428571428,0.359999999999999,0.52,0.980327868852459,1.11926605504587
124,Moorea_2,20,Polyps,-17.94,4.88,3.571428571428571,0.359999999999999,0.52,0.980327868852459,1.11926605504587
128,Moorea_2,40,Zoox,-17.88,3.19,6.695652173913043,-0.0300000000000011,1.37,1.00167785234899,1.4294670846395
128,Moorea_2,40,Polyps,-17.91,4.56,4.6,-0.0300000000000011,1.37,1.00167785234899,1.4294670846395
140,Moorea_2,40,Polyps,-19.02,3.65,4.199999999999999,0.0100000000000016,0.16,0.999474513925381,1.0458452722063
140,Moorea_2,40,Zoox,-19.03,3.49,6.428571428571429,0.0100000000000016,0.16,0.999474513925381,1.0458452722063
146,Moorea_2,60,Zoox,-17.71,3.27,6.689655172413794,0.420000000000002,1.93,0.976284584980237,1.59021406727829
