ID_LAB,Island_Site,Depth,iso13C_Polyps,iso13C_Zoox,iso15N_Polyps,iso15N_Zoox,Ratio_CN_Polyps,Ratio_CN_Zoox,Delta13C_Pol_Zoox,Delta15N_Pol_Zoox
1019,Bora_2,6,-14.99,-14.41,3.56,4.88,2.4285714285714284,5.769230769230769,-0.58,-1.32
102,Moorea_2,20,-16.44,-16.42,4.41,4.89,3.142857142857143,5.651162790697675,-0.0199999999999996,-0.48
1020,Bora_2,6,-15.95,-16.1,1.46,4.61,2.4,5.535714285714286,0.150000000000002,-3.15
1021,Bora_2,6,-15.81,-16.16,4.6,5.14,2.75,6.03921568627451,0.35,-0.54
1022,Bora_2,6,-16.05,-15.42,24.46,3.4,2.5,5.285714285714286,-0.630000000000001,21.06
1023,Bora_2,6,-14.92,-13.93,4.82,5.15,2.1999999999999997,5.374999999999999,-0.99,-0.33
1025,Bora_2,6,-15.3,-15.52,18.46,3.22,2.5,6,0.219999999999999,15.24
108,Moorea_2,60,-18.02,-18.71,11.85,6.76,5.5,7.1499999999999995,0.690000000000001,5.09
1080,Bora_2,40,-16.91,-17.33,6.17,5.44,3.666666666666667,5.2,0.419999999999998,0.73
1081,Bora_2,40,-16.86,-17.14,4.11,5.54,2.7777777777777777,5.372093023255814,0.280000000000001,-1.43
1082,Bora_2,40,-16.99,-17.09,4.71,4.95,3.3333333333333335,6.023255813953488,0.100000000000001,-0.24
1083,Bora_2,40,-18.04,-18.27,4.02,4.88,2.6,4.689655172413794,0.23,-0.86
1084,Bora_2,40,-16.31,-16.73,5.38,5.48,2.7,6.725,0.420000000000002,-0.100000000000001
1085,Bora_2,40,-15.86,-16.34,3.51,4.97,2.75,4.925,0.48,-1.46
1086,Bora_2,40,-18.29,-18.2,4.76,5.09,3.3333333333333335,4.666666666666667,-0.0899999999999999,-0.33
1087,Bora_2,40,-16.87,-17.14,4.98,5.09,3.5000000000000004,5.217391304347825,0.27,-0.109999999999999
1088,Bora_2,40,-17.09,-17.11,5.06,7.36,3.2857142857142856,5.372093023255814,0.0199999999999996,-2.3
110,Moorea_2,20,-17.04,-17.75,11.83,4.31,3.428571428571428,5.826086956521739,0.710000000000001,7.52
111,Moorea_2,20,-17.07,-17.35,4.7,4.65,4.857142857142857,5.633333333333334,0.280000000000001,0.0499999999999998
112,Moorea_2,20,-15.77,-16.66,4.94,4.75,2.571428571428571,5.826086956521739,0.890000000000001,0.19
113,Moorea_2,20,-17.42,-17.54,2.57,6.15,2.8333333333333335,5.636363636363637,0.119999999999997,-3.58
1143,Bora_2,60,-19.22,-19.78,3.89,3.95,2.1999999999999997,4.916666666666667,0.560000000000002,-0.06
1144,Bora_2,60,-17.99,-18.56,4.18,4.49,2.714285714285714,5.260869565217391,0.57,-0.31
1145,Bora_2,60,-17.7,-18.49,4.35,4.64,2.375,5.735294117647058,0.789999999999999,-0.29
