Depth,Island_Site,Extraction,Nitrogen,Delta_Nitrogen15,Carbon,Delta_Carbon13,Ratio_C_N,Delta_Nitrogen15_SD,Delta_Carbon13_SD,Ratio_C_N_SD,Delta13C_Pol_Zoox,Delta15N_Pol_Zoox,Delta13C_Pol_Zoox_SD,Delta15N_Pol_Zoox_SD,Ratio13C_Pol_Zoox,Ratio15N_Pol_Zoox,Ratio13C_Pol_Zoox_SD,Ratio15N_Pol_Zoox_SD
6,Bora_2,Polyps,0.06166666666666667,9.56,0.15333333333333332,-15.503333333333334,2.463095238095238,9.48577039570324,0.4975004187602928,0.178566666603173,-0.24666666666666667,5.16,0.5552897141733015,10.277091028107128,1.017837507960265,2.6340186471222435,0.03791549458415819,3.0100737705828595
6,Bora_2,Zoox,0.38,4.4,2.171666666666667,-15.256666666666668,5.667479171155642,0.8691375035056306,0.9055532378975116,0.31867287438695463,-0.24666666666666667,5.16,0.5552897141733015,10.277091028107128,1.017837507960265,2.6340186471222435,0.03791549458415819,3.0100737705828595
6,Moorea_2,Polyps,0.0475,3.6500000000000004,0.1825,-14.75,3.925,1.1805930712993367,0.498664884132287,0.6751543033509699,-0.6274999999999995,-1.2125000000000001,0.23228933107943958,0.854493027082921,1.0444256491746,0.741357173373154,0.016408113195996304,0.20217034729555997
6,Moorea_2,Zoox,0.45,4.8625,2.6775,-14.1225,6.0392963553215075,0.4348467162882418,0.4158825956124321,0.6834449440516839,-0.6274999999999995,-1.2125000000000001,0.23228933107943958,0.854493027082921,1.0444256491746,0.741357173373154,0.016408113195996304,0.20217034729555997
6,Rangiroa_3,Polyps,0.07111111111111111,9.981111111111112,0.28888888888888886,-15.033333333333333,4.26005291005291,6.057417858387442,1.0338520203588133,1.0214851298150938,-0.09333333333333337,-1.177777777777778,0.3038502920847697,6.8471961009193,1.0064003030073594,0.9170613130732562,0.019672146589923247,0.5824714308566233
6,Rangiroa_3,Zoox,0.4211111111111111,11.158888888888889,2.578888888888889,-14.94,6.138772287993922,2.6954287434675606,1.0339608309795882,0.7056696746408644,-0.09333333333333337,-1.177777777777778,0.3038502920847697,6.8471961009193,1.0064003030073594,0.9170613130732562,0.019672146589923247,0.5824714308566233
6,Tikehau_2,Polyps,0.07666666666666667,8.768888888888888,0.24666666666666667,-15.174444444444445,3.2044733044733045,2.2530614974099374,0.8564769569450061,0.5871412309312813,-0.3322222222222221,-0.8766666666666665,0.4575417406581005,1.99008165661613,1.0220244103481948,0.9045836265804394,0.030693161650899057,0.21328910658732658
6,Tikehau_2,Zoox,0.6377777777777778,9.645555555555555,4.18,-14.842222222222222,6.448062761335204,0.5139579533169786,0.5739507334645062,0.8224711142136525,-0.3322222222222221,-0.8766666666666665,0.4575417406581005,1.99008165661613,1.0220244103481948,0.9045836265804394,0.030693161650899057,0.21328910658732658
20,Bora_2,Polyps,0.07,5.253333333333334,0.24333333333333335,-16.245,3.639417989417989,2.3569019213082814,0.9317242081216949,0.8979370363821697,0.5050000000000006,0.37,0.33560393323082566,2.5450972476508635,0.9707145437568412,1.093154584246379,0.018502606392579935,0.5097369338875491
20,Bora_2,Zoox,0.4116666666666667,4.883333333333334,2.381666666666667,-16.75,5.699706254884523,0.38603972161769395,1.1984656857832856,0.5490824012734952,0.5050000000000006,0.37,0.33560393323082566,2.5450972476508635,0.9707145437568412,1.093154584246379,0.018502606392579935,0.5097369338875491
20,Moorea_2,Polyps,0.06875,5.54,0.2225,-17.23375,3.200595238095238,2.9689151457825704,0.9498862713880165,0.8025971670172085,0.2750000000000003,0.23124999999999993,0.408621375568421,3.223956918801136,0.9839786131741519,1.109813130775079,0.0234984896824787,0.6944263480478837
20,Moorea_2,Zoox,0.30875,5.30875,1.73875,-17.50875,5.643169387751194,1.8025492860311558,0.7230182273932358,0.23749750185406435,0.2750000000000003,0.23124999999999993,0.408621375568421,3.223956918801136,0.9839786131741519,1.109813130775079,0.0234984896824787,0.6944263480478837
20,Rangiroa_3,Polyps,0.08444444444444445,9.386666666666667,0.3055555555555556,-16.444444444444443,3.670458553791887,0.9361089680160105,0.36438685181792324,0.6586090713648952,-0.10222222222222177,-0.050000000000000024,0.33142788724614575,0.8128806800508914,1.0067567354831728,0.9942123278095968,0.02118628340862009,0.08466687009220646
20,Rangiroa_3,Zoox,0.35333333333333333,9.436666666666667,1.9544444444444444,-16.342222222222222,5.5375271689040515,0.35415392133929585,0.5564345823584694,0.47832195907665226,-0.10222222222222177,-0.050000000000000024,0.33142788724614575,0.8128806800508914,1.0067567354831728,0.9942123278095968,0.02118628340862009,0.08466687009220646
20,Tikehau_2,Polyps,0.07625,7.115,0.23,-16.55125,3.036954365079365,2.6157162362480046,0.7659249776763853,0.21986351851488814,-0.12125000000000002,-0.9374999999999999,0.6385125012759847,1.2345704863288633,1.008070058930007,0.8788294496838933,0.03889255774362111,0.15289977462863855
20,Tikehau_2,Zoox,0.40125,8.0525,2.4,-16.43,5.953478664275113,2.6290288810020437,0.7889776386474552,0.7499382212385719,-0.12125000000000002,-0.9374999999999999,0.6385125012759847,1.2345704863288633,1.008070058930007,0.8788294496838933,0.03889255774362111,0.15289977462863855
40,Bora_2,Polyps,0.07222222222222223,4.7444444444444445,0.22222222222222224,-17.024444444444445,3.1052028218694887,0.7940263079884556,0.7557134230498871,0.3969529777274546,0.23666666666666686,-0.6777777777777777,0.19422924599555028,0.9214903387689122,0.9860590389261092,0.8822665908458851,0.01153760739522161,0.15093371589637783
40,Bora_2,Zoox,0.39444444444444443,5.4222222222222225,2.1255555555555556,-17.26111111111111,5.354572778210378,0.7676877258654359,0.624108252718317,0.6584447778285166,0.23666666666666686,-0.6777777777777777,0.19422924599555028,0.9214903387689122,0.9860590389261092,0.8822665908458851,0.01153760739522161,0.15093371589637783
40,Moorea_2,Polyps,0.045,3.625,0.19,-18.505,4.133333333333333,1.285003242538062,0.7150058274820787,0.5577733510227167,-0.04999999999999985,-0.05749999999999996,0.1095445115010342,1.2292646853573348,1.0028713011110322,0.992847641331491,0.006162929971589527,0.37041876457176054
40,Moorea_2,Zoox,0.525,3.6825,3.3,-18.455,6.330413297394429,0.6445347158997721,0.8011034057265437,0.30714686099248406,-0.04999999999999985,-0.05749999999999996,0.1095445115010342,1.2292646853573348,1.0028713011110322,0.992847641331491,0.006162929971589527,0.37041876457176054
40,Rangiroa_3,Polyps,0.07625,10.05625,0.2925,-17.505,3.8990575396825395,2.706594789979257,1.2405183248488172,0.8038288951634373,0.37124999999999886,0.08874999999999962,0.37448774536501456,1.26447547002135,0.9795955301029009,0.9987432204120703,0.02096949728983104,0.11092799858335493
40,Rangiroa_3,Zoox,0.32,9.967500000000001,1.77375,-17.87625,5.60539063198619,1.6375744257895575,1.3029739335184611,0.39251171759096753,0.37124999999999886,0.08874999999999962,0.37448774536501456,1.26447547002135,0.9795955301029009,0.9987432204120703,0.02096949728983104,0.11092799858335493
40,Tikehau_2,Polyps,0.06875,8.565,0.22125,-17.56625,3.198390151515152,1.107081104268595,0.5292565540453892,0.8612881455666799,0.3775000000000011,-0.5387500000000002,0.7079901129253142,1.528990680154722,0.9797606831479931,0.9489497260721564,0.038609022528841845,0.17035181153371304
40,Tikehau_2,Zoox,0.39,9.10375,2.21375,-17.94375,5.676659920301027,0.6896155761416228,0.6332216380203245,0.49173822196875133,0.3775000000000011,-0.5387500000000002,0.7079901129253142,1.528990680154722,0.9797606831479931,0.9489497260721564,0.038609022528841845,0.17035181153371304
60,Bora_2,Polyps,0.065,3.933333333333333,0.155,-18.296666666666667,2.369642857142857,0.35285502216443876,0.5318897128791521,0.19676198255195979,0.3583333333333335,-0.23,0.4449456895697124,0.4979959839195493,0.9810838160290429,0.952646126557654,0.024105709463799332,0.12686069102736036
60,Bora_2,Zoox,0.34500000000000003,4.163333333333333,1.8383333333333334,-18.655,5.3006678033532255,0.42528421868988575,0.5834637949350417,0.3067196519001319,0.3583333333333335,-0.23,0.4449456895697124,0.4979959839195493,0.9810838160290429,0.952646126557654,0.024105709463799332,0.12686069102736036
60,Moorea_2,Polyps,0.041666666666666664,5.775,0.19833333333333333,-18.411666666666665,4.541666666666667,4.463338436641345,0.6366291437459232,1.4450586301062127,-0.02666666666666615,2.0733333333333333,0.5167849327008934,3.6528381659562563,1.0015399013082,1.5287532856436874,0.028207975276309402,1.1421434123432588
60,Moorea_2,Zoox,0.20833333333333334,3.7016666666666667,1.3066666666666666,-18.385,6.166806658757657,1.510925764776902,0.4644459064304476,0.7051839605396671,-0.02666666666666615,2.0733333333333333,0.5167849327008934,3.6528381659562563,1.0015399013082,1.5287532856436874,0.028207975276309402,1.1421434123432588
60,Tikehau_2,Polyps,0.06,6.84,0.14,-18.97,2.3333333333333335,NA,NA,NA,-0.579999999999998,1.5,NA,NA,1.03153887982599,1.28089887640449,NA,NA
60,Tikehau_2,Zoox,0.28,5.34,1.39,-18.39,4.9642857142857135,NA,NA,NA,-0.579999999999998,1.5,NA,NA,1.03153887982599,1.28089887640449,NA,NA
