// DEFI Series
// CSV File
// Firmware Version 1.02
// Software Version 1.03
[Head]
SondeName=DEFI2-L
SondeNo=0B2P014
SensorType=Q2B0
SensorType2=0102
SensorType3=60
Channel=2
Interval=300
SampleCnt=2302
StartTime=2018/09/19 11:00:00
EndTime=2018/09/27 10:45:00
StopTime=2018/09/27 10:48:16
Status=01000
DepAdjRho=1.0250
ImmersionEN=1
CoefDate=2018/05/23
Immersion_Effect=1.39
Ch1=+8.496486e+03,-1.309549e-01,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=+1.169766e-02,+8.109043e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
[Item]
TimeStamp,Quantum [umol/(m^2s)],Batt. [V],
2018/09/19 11:00:00,23.2,1.46,
2018/09/19 11:05:00,25.0,1.47,
2018/09/19 11:10:00,17.7,1.46,
2018/09/19 11:15:00,21.5,1.46,
2018/09/19 11:20:00,21.4,1.46,
2018/09/19 11:25:00,20.1,1.47,
2018/09/19 11:30:00,21.6,1.46,
2018/09/19 11:35:00,27.3,1.46,
2018/09/19 11:40:00,27.5,1.46,
2018/09/19 11:45:00,21.5,1.46,
2018/09/19 11:50:00,25.6,1.46,
2018/09/19 11:55:00,38.2,1.46,
2018/09/19 12:00:00,27.7,1.46,
2018/09/19 12:05:00,36.3,1.46,
2018/09/19 12:10:00,44.2,1.46,
2018/09/19 12:15:00,38.5,1.46,
2018/09/19 12:20:00,22.4,1.46,
2018/09/19 12:25:00,21.4,1.46,
2018/09/19 12:30:00,14.9,1.46,
2018/09/19 12:35:00,10.0,1.46,
2018/09/19 12:40:00,6.4,1.46,
2018/09/19 12:45:00,6.3,1.46,
2018/09/19 12:50:00,6.4,1.46,
2018/09/19 12:55:00,6.4,1.47,
2018/09/19 13:00:00,7.8,1.46,
2018/09/19 13:05:00,8.9,1.46,
2018/09/19 13:10:00,8.6,1.46,
2018/09/19 13:15:00,6.7,1.46,
2018/09/19 13:20:00,6.6,1.46,
2018/09/19 13:25:00,6.3,1.46,
2018/09/19 13:30:00,6.2,1.46,
2018/09/19 13:35:00,6.1,1.46,
2018/09/19 13:40:00,5.9,1.46,
2018/09/19 13:45:00,4.8,1.46,
2018/09/19 13:50:00,4.9,1.46,
2018/09/19 13:55:00,5.6,1.46,
2018/09/19 14:00:00,6.2,1.46,
2018/09/19 14:05:00,6.3,1.46,
2018/09/19 14:10:00,6.4,1.46,
2018/09/19 14:15:00,6.3,1.46,
2018/09/19 14:20:00,6.9,1.46,
2018/09/19 14:25:00,6.9,1.46,
2018/09/19 14:30:00,10.0,1.46,
2018/09/19 14:35:00,9.3,1.46,
2018/09/19 14:40:00,6.5,1.46,
2018/09/19 14:45:00,10.6,1.46,
2018/09/19 14:50:00,8.8,1.46,
2018/09/19 14:55:00,9.2,1.46,
2018/09/19 15:00:00,10.4,1.46,
2018/09/19 15:05:00,7.9,1.46,
2018/09/19 15:10:00,6.4,1.46,
2018/09/19 15:15:00,6.4,1.46,
2018/09/19 15:20:00,8.3,1.46,
2018/09/19 15:25:00,10.0,1.46,
2018/09/19 15:30:00,10.3,1.47,
2018/09/19 15:35:00,9.3,1.46,
2018/09/19 15:40:00,8.4,1.46,
2018/09/19 15:45:00,7.3,1.46,
2018/09/19 15:50:00,6.4,1.46,
2018/09/19 15:55:00,6.5,1.46,
2018/09/19 16:00:00,6.0,1.46,
2018/09/19 16:05:00,5.8,1.46,
2018/09/19 16:10:00,6.3,1.46,
2018/09/19 16:15:00,6.5,1.46,
2018/09/19 16:20:00,6.1,1.46,
