"","Time","Id_Site","Archipelago","Island","Depth","Date_Time","Quantum","Battery"
"26","13:05:00","BOR2","Society","Bora","20",2018-09-19 13:05:00,93,1.5
"27","13:10:00","BOR2","Society","Bora","20",2018-09-19 13:10:00,95.6,1.5
"28","13:15:00","BOR2","Society","Bora","20",2018-09-19 13:15:00,79.4,1.5
"29","13:20:00","BOR2","Society","Bora","20",2018-09-19 13:20:00,74.2,1.5
"30","13:25:00","BOR2","Society","Bora","20",2018-09-19 13:25:00,66.6,1.5
"31","13:30:00","BOR2","Society","Bora","20",2018-09-19 13:30:00,62.4,1.5
"32","13:35:00","BOR2","Society","Bora","20",2018-09-19 13:35:00,60.5,1.5
"33","13:40:00","BOR2","Society","Bora","20",2018-09-19 13:40:00,57.1,1.49
"34","13:45:00","BOR2","Society","Bora","20",2018-09-19 13:45:00,46.9,1.49
"35","13:50:00","BOR2","Society","Bora","20",2018-09-19 13:50:00,50.2,1.5
"36","13:55:00","BOR2","Society","Bora","20",2018-09-19 13:55:00,57.6,1.49
"37","14:00:00","BOR2","Society","Bora","20",2018-09-19 14:00:00,64.6,1.5
"38","14:05:00","BOR2","Society","Bora","20",2018-09-19 14:05:00,70.8,1.49
"39","14:10:00","BOR2","Society","Bora","20",2018-09-19 14:10:00,73.4,1.5
"40","14:15:00","BOR2","Society","Bora","20",2018-09-19 14:15:00,71.3,1.49
"41","14:20:00","BOR2","Society","Bora","20",2018-09-19 14:20:00,86.7,1.5
"42","14:25:00","BOR2","Society","Bora","20",2018-09-19 14:25:00,87.6,1.5
"43","14:30:00","BOR2","Society","Bora","20",2018-09-19 14:30:00,119.3,1.5
"44","14:35:00","BOR2","Society","Bora","20",2018-09-19 14:35:00,109.3,1.5
"45","14:40:00","BOR2","Society","Bora","20",2018-09-19 14:40:00,80,1.5
"46","14:45:00","BOR2","Society","Bora","20",2018-09-19 14:45:00,136.8,1.5
"47","14:50:00","BOR2","Society","Bora","20",2018-09-19 14:50:00,121.1,1.5
"48","14:55:00","BOR2","Society","Bora","20",2018-09-19 14:55:00,114.8,1.49
"49","15:00:00","BOR2","Society","Bora","20",2018-09-19 15:00:00,123.5,1.49
"50","15:05:00","BOR2","Society","Bora","20",2018-09-19 15:05:00,101.9,1.5
"51","15:10:00","BOR2","Society","Bora","20",2018-09-19 15:10:00,82.1,1.5
"52","15:15:00","BOR2","Society","Bora","20",2018-09-19 15:15:00,87,1.5
"53","15:20:00","BOR2","Society","Bora","20",2018-09-19 15:20:00,116.7,1.49
"54","15:25:00","BOR2","Society","Bora","20",2018-09-19 15:25:00,129.5,1.5
"55","15:30:00","BOR2","Society","Bora","20",2018-09-19 15:30:00,136,1.5
"56","15:35:00","BOR2","Society","Bora","20",2018-09-19 15:35:00,127.6,1.5
"57","15:40:00","BOR2","Society","Bora","20",2018-09-19 15:40:00,117.2,1.5
"58","15:45:00","BOR2","Society","Bora","20",2018-09-19 15:45:00,103.7,1.5
"59","15:50:00","BOR2","Society","Bora","20",2018-09-19 15:50:00,95.2,1.5
"60","15:55:00","BOR2","Society","Bora","20",2018-09-19 15:55:00,92.9,1.5
"61","16:00:00","BOR2","Society","Bora","20",2018-09-19 16:00:00,80.2,1.49
"62","16:05:00","BOR2","Society","Bora","20",2018-09-19 16:05:00,78.4,1.5
"63","16:10:00","BOR2","Society","Bora","20",2018-09-19 16:10:00,87.5,1.5
"64","16:15:00","BOR2","Society","Bora","20",2018-09-19 16:15:00,122.4,1.5
"65","16:20:00","BOR2","Society","Bora","20",2018-09-19 16:20:00,82.6,1.5
"66","16:25:00","BOR2","Society","Bora","20",2018-09-19 16:25:00,112.7,1.5
"67","16:30:00","BOR2","Society","Bora","20",2018-09-19 16:30:00,68.6,1.49
"68","16:35:00","BOR2","Society","Bora","20",2018-09-19 16:35:00,59.4,1.5
"69","16:40:00","BOR2","Society","Bora","20",2018-09-19 16:40:00,47.2,1.49
"70","16:45:00","BOR2","Society","Bora","20",2018-09-19 16:45:00,43.2,1.49
"71","16:50:00","BOR2","Society","Bora","20",2018-09-19 16:50:00,40.5,1.49
"72","16:55:00","BOR2","Society","Bora","20",2018-09-19 16:55:00,28.2,1.49
"73","17:00:00","BOR2","Society","Bora","20",2018-09-19 17:00:00,19.6,1.5
"74","17:05:00","BOR2","Society","Bora","20",2018-09-19 17:05:00,15.9,1.49
"75","17:10:00","BOR2","Society","Bora","20",2018-09-19 17:10:00,13.8,1.49
"76","17:15:00","BOR2","Society","Bora","20",2018-09-19 17:15:00,11.2,1.49
"77","17:20:00","BOR2","Society","Bora","20",2018-09-19 17:20:00,10.2,1.49
"78","17:25:00","BOR2","Society","Bora","20",2018-09-19 17:25:00,10.1,1.49
"79","17:30:00","BOR2","Society","Bora","20",2018-09-19 17:30:00,10.4,1.49
"80","17:35:00","BOR2","Society","Bora","20",2018-09-19 17:35:00,13.1,1.49
"81","17:40:00","BOR2","Society","Bora","20",2018-09-19 17:40:00,10.7,1.49
"82","17:45:00","BOR2","Society","Bora","20",2018-09-19 17:45:00,7.3,1.5
"83","17:50:00","BOR2","Society","Bora","20",2018-09-19 17:50:00,6.5,1.5
"84","17:55:00","BOR2","Society","Bora","20",2018-09-19 17:55:00,4.5,1.5
"85","18:00:00","BOR2","Society","Bora","20",2018-09-19 18:00:00,2.6,1.5
"86","18:05:00","BOR2","Society","Bora","20",2018-09-19 18:05:00,2.1,1.5
"87","18:10:00","BOR2","Society","Bora","20",2018-09-19 18:10:00,1.7,1.5
"88","18:15:00","BOR2","Society","Bora","20",2018-09-19 18:15:00,1.4,1.5
"89","18:20:00","BOR2","Society","Bora","20",2018-09-19 18:20:00,1.3,1.5
"90","18:25:00","BOR2","Society","Bora","20",2018-09-19 18:25:00,1.4,1.5
"91","18:30:00","BOR2","Society","Bora","20",2018-09-19 18:30:00,1.3,1.5
"92","18:35:00","BOR2","Society","Bora","20",2018-09-19 18:35:00,1.3,1.5
"93","18:40:00","BOR2","Society","Bora","20",2018-09-19 18:40:00,1.2,1.5
"94","18:45:00","BOR2","Society","Bora","20",2018-09-19 18:45:00,1.3,1.49
"95","18:50:00","BOR2","Society","Bora","20",2018-09-19 18:50:00,1.1,1.5
"96","18:55:00","BOR2","Society","Bora","20",2018-09-19 18:55:00,1.3,1.5
"97","19:00:00","BOR2","Society","Bora","20",2018-09-19 19:00:00,1.3,1.49
"98","19:05:00","BOR2","Society","Bora","20",2018-09-19 19:05:00,1.3,1.49
"99","19:10:00","BOR2","Society","Bora","20",2018-09-19 19:10:00,1.3,1.5
"100","19:15:00","BOR2","Society","Bora","20",2018-09-19 19:15:00,1.3,1.5
"101","19:20:00","BOR2","Society","Bora","20",2018-09-19 19:20:00,1.3,1.49
"102","19:25:00","BOR2","Society","Bora","20",2018-09-19 19:25:00,1.3,1.5
