Island_Site,Depth,IndexLoss
Moorea,6,100
Moorea,20,49.5869513999609
Moorea,40,23.9135106993185
Moorea,60,12.2173416036179
Moorea,90,3.61502054934829
Moorea,120,1.1776252949155
Bora Bora,6,100
Bora Bora,20,52.1731003202798
Bora Bora,40,23.9701828750539
Bora Bora,60,11.803795404123
Bora Bora,90,4.0898121591231
Bora Bora,120,1.39901001813016
Rangiroa,6,100
Rangiroa,20,58.0332194781337
Rangiroa,40,22.646012618777
Rangiroa,60,11.7754365929922
Rangiroa,90,3.38025998156964
Rangiroa,120,1.20971166927093
Tikehau,6,100
Tikehau,20,55.5655039501645
Tikehau,40,23.5045034478894
Tikehau,60,10.2257986409944
Tikehau,90,2.90674498402584
Tikehau,120,1.07943939008376
