// DEFI Series
// CSV File
// Firmware Version 1.02
// Software Version 1.03
[Head]
SondeName=DEFI2-L
SondeNo=0B2P013
SensorType=Q2B0
SensorType2=0102
SensorType3=60
Channel=2
Interval=300
SampleCnt=1001
StartTime=2018/09/04 11:00:00
EndTime=2018/09/07 22:20:00
StopTime=2018/09/07 22:20:45
Status=01000
DepAdjRho=1.0250
ImmersionEN=1
CoefDate=2018/05/23
Immersion_Effect=1.4
Ch1=+8.833390e+03,-1.361581e-01,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=+1.169766e-02,+8.109043e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
[Item]
TimeStamp,Quantum [umol/(m^2s)],Batt. [V],
2018/09/04 11:00:00,63.0,1.52,
2018/09/04 11:05:00,63.8,1.52,
2018/09/04 11:10:00,62.5,1.52,
2018/09/04 11:15:00,68.4,1.52,
2018/09/04 11:20:00,65.7,1.53,
2018/09/04 11:25:00,70.3,1.53,
2018/09/04 11:30:00,69.0,1.53,
2018/09/04 11:35:00,71.9,1.53,
2018/09/04 11:40:00,81.8,1.53,
2018/09/04 11:45:00,58.7,1.53,
2018/09/04 11:50:00,55.1,1.53,
2018/09/04 11:55:00,62.4,1.53,
2018/09/04 12:00:00,42.9,1.53,
2018/09/04 12:05:00,40.3,1.53,
2018/09/04 12:10:00,43.5,1.53,
2018/09/04 12:15:00,80.4,1.53,
2018/09/04 12:20:00,37.0,1.53,
2018/09/04 12:25:00,37.4,1.53,
2018/09/04 12:30:00,34.6,1.53,
2018/09/04 12:35:00,20.4,1.53,
2018/09/04 12:40:00,20.5,1.53,
2018/09/04 12:45:00,18.3,1.52,
2018/09/04 12:50:00,14.9,1.53,
2018/09/04 12:55:00,18.9,1.53,
2018/09/04 13:00:00,21.0,1.52,
2018/09/04 13:05:00,27.5,1.53,
2018/09/04 13:10:00,30.6,1.53,
2018/09/04 13:15:00,31.9,1.53,
2018/09/04 13:20:00,27.9,1.53,
2018/09/04 13:25:00,24.9,1.53,
2018/09/04 13:30:00,21.4,1.53,
2018/09/04 13:35:00,18.3,1.53,
2018/09/04 13:40:00,16.9,1.53,
2018/09/04 13:45:00,12.6,1.53,
2018/09/04 13:50:00,10.2,1.53,
2018/09/04 13:55:00,10.3,1.53,
2018/09/04 14:00:00,10.1,1.53,
2018/09/04 14:05:00,10.0,1.53,
2018/09/04 14:10:00,11.1,1.53,
2018/09/04 14:15:00,14.0,1.53,
2018/09/04 14:20:00,16.0,1.52,
2018/09/04 14:25:00,16.6,1.53,
2018/09/04 14:30:00,19.0,1.53,
2018/09/04 14:35:00,19.1,1.53,
2018/09/04 14:40:00,21.0,1.53,
2018/09/04 14:45:00,22.5,1.52,
