"","Time","Id_Site","Archipelago","Island","Depth","Date_Time","Quantum","Battery"
"14","12:05:00","MO-2","Society","Moorea","20",2018-09-04 12:05:00,166.6,1.51
"15","12:10:00","MO-2","Society","Moorea","20",2018-09-04 12:10:00,191.7,1.51
"16","12:15:00","MO-2","Society","Moorea","20",2018-09-04 12:15:00,265.4,1.51
"17","12:20:00","MO-2","Society","Moorea","20",2018-09-04 12:20:00,194.9,1.51
"18","12:25:00","MO-2","Society","Moorea","20",2018-09-04 12:25:00,144.2,1.51
"19","12:30:00","MO-2","Society","Moorea","20",2018-09-04 12:30:00,127.7,1.5
"20","12:35:00","MO-2","Society","Moorea","20",2018-09-04 12:35:00,79.9,1.51
"21","12:40:00","MO-2","Society","Moorea","20",2018-09-04 12:40:00,84.4,1.51
"22","12:45:00","MO-2","Society","Moorea","20",2018-09-04 12:45:00,68.8,1.51
"23","12:50:00","MO-2","Society","Moorea","20",2018-09-04 12:50:00,61.2,1.51
"24","12:55:00","MO-2","Society","Moorea","20",2018-09-04 12:55:00,76,1.51
"25","13:00:00","MO-2","Society","Moorea","20",2018-09-04 13:00:00,83.9,1.51
"26","13:05:00","MO-2","Society","Moorea","20",2018-09-04 13:05:00,118.1,1.51
"27","13:10:00","MO-2","Society","Moorea","20",2018-09-04 13:10:00,121.5,1.51
"28","13:15:00","MO-2","Society","Moorea","20",2018-09-04 13:15:00,119.3,1.5
"29","13:20:00","MO-2","Society","Moorea","20",2018-09-04 13:20:00,104.7,1.51
"30","13:25:00","MO-2","Society","Moorea","20",2018-09-04 13:25:00,89.5,1.51
"31","13:30:00","MO-2","Society","Moorea","20",2018-09-04 13:30:00,75.5,1.51
"32","13:35:00","MO-2","Society","Moorea","20",2018-09-04 13:35:00,64.9,1.5
"33","13:40:00","MO-2","Society","Moorea","20",2018-09-04 13:40:00,57.9,1.5
"34","13:45:00","MO-2","Society","Moorea","20",2018-09-04 13:45:00,44.3,1.5
"35","13:50:00","MO-2","Society","Moorea","20",2018-09-04 13:50:00,36.2,1.5
"36","13:55:00","MO-2","Society","Moorea","20",2018-09-04 13:55:00,37,1.51
"37","14:00:00","MO-2","Society","Moorea","20",2018-09-04 14:00:00,37.1,1.5
"38","14:05:00","MO-2","Society","Moorea","20",2018-09-04 14:05:00,34.9,1.5
"39","14:10:00","MO-2","Society","Moorea","20",2018-09-04 14:10:00,39.3,1.51
