"","Time","Id_Site","Archipelago","Island","Depth","Date_Time","Quantum","Battery"
"20","12:35:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 12:35:00,4.4,1.52
"21","12:40:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 12:40:00,5.7,1.52
"22","12:45:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 12:45:00,4.2,1.52
"23","12:50:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 12:50:00,2.5,1.52
"24","12:55:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 12:55:00,3.7,1.52
"25","13:00:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 13:00:00,3.1,1.51
"26","13:05:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 13:05:00,5.4,1.52
"27","13:10:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 13:10:00,3.3,1.51
"28","13:15:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 13:15:00,4.6,1.52
"29","13:20:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 13:20:00,3.4,1.52
"30","13:25:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 13:25:00,1.9,1.52
"31","13:30:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 13:30:00,3,1.52
"32","13:35:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 13:35:00,2.5,1.51
"33","13:40:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 13:40:00,2.1,1.52
"34","13:45:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 13:45:00,1.7,1.51
"35","13:50:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 13:50:00,2,1.52
"36","13:55:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 13:55:00,2.1,1.52
"37","14:00:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 14:00:00,3.2,1.51
"38","14:05:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 14:05:00,2.1,1.52
"39","14:10:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 14:10:00,2.4,1.52
"40","14:15:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 14:15:00,3.4,1.52
"41","14:20:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 14:20:00,3.2,1.51
"42","14:25:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 14:25:00,3.1,1.52
"43","14:30:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 14:30:00,1.8,1.51
"44","14:35:00","RAN-3","Tuamotu","Rangiroa","120",2018-11-05 14:35:00,2.2,1.51
