// DEFI Series
// CSV File
// Firmware Version 1.02
// Software Version 1.03
[Head]
SondeName=DEFI2-L
SondeNo=0B2P015
SensorType=Q2B0
SensorType2=0102
SensorType3=60
Channel=2
Interval=300
SampleCnt=2082
StartTime=2018/11/05 11:00:00
EndTime=2018/11/12 16:25:00
StopTime=2018/11/12 16:26:28
Status=01000
DepAdjRho=1.0250
ImmersionEN=1
CoefDate=2018/05/23
Immersion_Effect=1.39
Ch1=+8.768397e+03,-1.351438e-01,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=+1.169766e-02,+8.109043e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
[Item]
TimeStamp,Quantum [umol/(m^2s)],Batt. [V],
2018/11/05 11:00:00,3.3,1.48,
2018/11/05 11:05:00,6.3,1.49,
2018/11/05 11:10:00,2.4,1.49,
2018/11/05 11:15:00,2.2,1.50,
2018/11/05 11:20:00,8.7,1.49,
2018/11/05 11:25:00,7.0,1.49,
2018/11/05 11:30:00,10.1,1.49,
2018/11/05 11:35:00,2.5,1.49,
2018/11/05 11:40:00,2.9,1.48,
2018/11/05 11:45:00,2.5,1.49,
2018/11/05 11:50:00,2.7,1.49,
2018/11/05 11:55:00,5.7,1.49,
2018/11/05 12:00:00,2.4,1.48,
2018/11/05 12:05:00,5.5,1.48,
2018/11/05 12:10:00,6.1,1.48,
2018/11/05 12:15:00,4.6,1.48,
2018/11/05 12:20:00,4.7,1.49,
2018/11/05 12:25:00,5.0,1.48,
2018/11/05 12:30:00,173.8,1.50,
2018/11/05 12:35:00,318.1,1.49,
2018/11/05 12:40:00,303.0,1.50,
2018/11/05 12:45:00,205.4,1.49,
2018/11/05 12:50:00,132.4,1.49,
2018/11/05 12:55:00,205.7,1.49,
2018/11/05 13:00:00,131.2,1.49,
2018/11/05 13:05:00,328.6,1.49,
2018/11/05 13:10:00,219.8,1.49,
2018/11/05 13:15:00,268.7,1.49,
2018/11/05 13:20:00,179.6,1.49,
2018/11/05 13:25:00,84.4,1.49,
2018/11/05 13:30:00,136.4,1.49,
2018/11/05 13:35:00,102.7,1.49,
