"","Time","Id_Site","Archipelago","Island","Depth","Date_Time","Quantum","Battery"
"28","13:15:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 13:15:00,268.7,1.49
"29","13:20:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 13:20:00,179.6,1.49
"30","13:25:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 13:25:00,84.4,1.49
"31","13:30:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 13:30:00,136.4,1.49
"32","13:35:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 13:35:00,102.7,1.49
"33","13:40:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 13:40:00,88.4,1.49
"34","13:45:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 13:45:00,58,1.49
"35","13:50:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 13:50:00,84.2,1.49
"36","13:55:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 13:55:00,84.7,1.49
"37","14:00:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 14:00:00,268.4,1.49
"38","14:05:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 14:05:00,101.9,1.49
"39","14:10:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 14:10:00,86.4,1.49
"40","14:15:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 14:15:00,194.7,1.49
"41","14:20:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 14:20:00,158.2,1.49
"42","14:25:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 14:25:00,199.5,1.49
"43","14:30:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 14:30:00,171.1,1.49
"44","14:35:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 14:35:00,172.8,1.49
"45","14:40:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 14:40:00,131.5,1.49
"46","14:45:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 14:45:00,65.4,1.49
"47","14:50:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 14:50:00,151.1,1.49
"48","14:55:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 14:55:00,75.9,1.49
"49","15:00:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 15:00:00,91.8,1.49
"50","15:05:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 15:05:00,100.6,1.49
"51","15:10:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 15:10:00,84.5,1.49
"52","15:15:00","RAN3","Tuamotu","Rangiroa","20",2018-11-05 15:15:00,57.6,1.49
