// DEFI Series
// CSV File
// Firmware Version 1.02
// Software Version 1.03
[Head]
SondeName=DEFI2-L
SondeNo=0B2P015
SensorType=Q2B0
SensorType2=0102
SensorType3=60
Channel=2
Interval=300
SampleCnt=1226
StartTime=2018/10/20 13:00:00
EndTime=2018/10/24 19:05:00
StopTime=2018/10/24 19:05:39
Status=01000
DepAdjRho=1.0250
ImmersionEN=1
CoefDate=2018/05/23
Immersion_Effect=1.39
Ch1=+8.768397e+03,-1.351438e-01,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=+1.169766e-02,+8.109043e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
[Item]
TimeStamp,Quantum [umol/(m^2s)],Batt. [V],
2018/10/20 13:00:00,428.4,1.48,
2018/10/20 13:05:00,219.9,1.48,
2018/10/20 13:10:00,389.7,1.49,
2018/10/20 13:15:00,412.9,1.49,
2018/10/20 13:20:00,354.7,1.48,
2018/10/20 13:25:00,349.3,1.48,
2018/10/20 13:30:00,351.3,1.49,
2018/10/20 13:35:00,349.2,1.49,
2018/10/20 13:40:00,344.1,1.49,
2018/10/20 13:45:00,315.9,1.49,
2018/10/20 13:50:00,310.8,1.49,
2018/10/20 13:55:00,313.0,1.49,
2018/10/20 14:00:00,324.1,1.49,
2018/10/20 14:05:00,290.5,1.49,
2018/10/20 14:10:00,304.6,1.49,
2018/10/20 14:15:00,282.6,1.49,
2018/10/20 14:20:00,287.9,1.49,
2018/10/20 14:25:00,252.0,1.49,
2018/10/20 14:30:00,261.6,1.49,
2018/10/20 14:35:00,236.2,1.49,
2018/10/20 14:40:00,244.0,1.49,
2018/10/20 14:45:00,248.1,1.49,
2018/10/20 14:50:00,194.1,1.49,
2018/10/20 14:55:00,222.1,1.49,
2018/10/20 15:00:00,171.3,1.49,
2018/10/20 15:05:00,205.4,1.49,
2018/10/20 15:10:00,201.5,1.49,
2018/10/20 15:15:00,195.4,1.49,
2018/10/20 15:20:00,211.8,1.49,
2018/10/20 15:25:00,150.5,1.49,
2018/10/20 15:30:00,92.8,1.49,
2018/10/20 15:35:00,111.5,1.49,
2018/10/20 15:40:00,138.3,1.48,
2018/10/20 15:45:00,121.2,1.49,
2018/10/20 15:50:00,110.6,1.49,
2018/10/20 15:55:00,68.8,1.49,
2018/10/20 16:00:00,99.7,1.49,
2018/10/20 16:05:00,93.9,1.49,
2018/10/20 16:10:00,67.3,1.49,
2018/10/20 16:15:00,75.2,1.49,
2018/10/20 16:20:00,80.0,1.49,
2018/10/20 16:25:00,80.5,1.49,
2018/10/20 16:30:00,105.1,1.49,
2018/10/20 16:35:00,58.3,1.49,
2018/10/20 16:40:00,45.7,1.49,
2018/10/20 16:45:00,39.4,1.49,
2018/10/20 16:50:00,32.7,1.49,
2018/10/20 16:55:00,28.4,1.49,
2018/10/20 17:00:00,26.5,1.49,
2018/10/20 17:05:00,28.9,1.49,
2018/10/20 17:10:00,22.2,1.49,
2018/10/20 17:15:00,24.6,1.49,
2018/10/20 17:20:00,21.6,1.49,
2018/10/20 17:25:00,17.3,1.49,
2018/10/20 17:30:00,13.3,1.49,
2018/10/20 17:35:00,10.6,1.49,
2018/10/20 17:40:00,7.5,1.49,
2018/10/20 17:45:00,5.7,1.49,
2018/10/20 17:50:00,3.8,1.49,
2018/10/20 17:55:00,2.4,1.49,
2018/10/20 18:00:00,1.7,1.49,
2018/10/20 18:05:00,1.4,1.49,
2018/10/20 18:10:00,1.4,1.49,
2018/10/20 18:15:00,1.2,1.49,
2018/10/20 18:20:00,1.4,1.49,
2018/10/20 18:25:00,1.4,1.49,
2018/10/20 18:30:00,1.3,1.49,
2018/10/20 18:35:00,1.2,1.49,
2018/10/20 18:40:00,1.3,1.49,
2018/10/20 18:45:00,1.3,1.49,
2018/10/20 18:50:00,1.2,1.49,
2018/10/20 18:55:00,1.3,1.49,
2018/10/20 19:00:00,1.4,1.49,
2018/10/20 19:05:00,1.3,1.49,
2018/10/20 19:10:00,1.3,1.49,
2018/10/20 19:15:00,1.3,1.49,
2018/10/20 19:20:00,1.2,1.49,
2018/10/20 19:25:00,1.2,1.49,
2018/10/20 19:30:00,1.2,1.49,
2018/10/20 19:35:00,1.3,1.49,
2018/10/20 19:40:00,1.3,1.49,
2018/10/20 19:45:00,1.3,1.49,
2018/10/20 19:50:00,1.3,1.49,
2018/10/20 19:55:00,1.1,1.49,
2018/10/20 20:00:00,1.3,1.49,
2018/10/20 20:05:00,1.3,1.49,
2018/10/20 20:10:00,1.3,1.49,
2018/10/20 20:15:00,1.2,1.49,
2018/10/20 20:20:00,1.3,1.49,
2018/10/20 20:25:00,1.3,1.49,
2018/10/20 20:30:00,1.4,1.49,
2018/10/20 20:35:00,1.3,1.49,
2018/10/20 20:40:00,1.3,1.49,
2018/10/20 20:45:00,1.4,1.49,
2018/10/20 20:50:00,1.2,1.49,
