"Plot Title: 20385335_TIK2_20m"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 20385335, SEN S/N: 20385335)","Intensity, Lux (LGR S/N: 20385335, SEN S/N: 20385335)","Coupler Attached (LGR S/N: 20385335)","Host Connected (LGR S/N: 20385335)","Stopped (LGR S/N: 20385335)","End Of File (LGR S/N: 20385335)"
1,18/10/20 13:00:00,28.060,3100.0,,,,
2,18/10/20 13:05:00,27.961,1636.1,,,,
3,18/10/20 13:10:00,28.159,2755.6,,,,
4,18/10/20 13:15:00,28.159,2755.6,,,,
5,18/10/20 13:20:00,28.159,2755.6,,,,
6,18/10/20 13:25:00,28.060,2755.6,,,,
7,18/10/20 13:30:00,28.060,2755.6,,,,
8,18/10/20 13:35:00,28.060,2755.6,,,,
9,18/10/20 13:40:00,28.060,2755.6,,,,
10,18/10/20 13:45:00,27.961,2755.6,,,,
11,18/10/20 13:50:00,28.060,2755.6,,,,
12,18/10/20 13:55:00,28.060,2755.6,,,,
13,18/10/20 14:00:00,28.159,2755.6,,,,
14,18/10/20 14:05:00,28.060,2669.5,,,,
15,18/10/20 14:10:00,28.060,2755.6,,,,
16,18/10/20 14:15:00,28.060,2583.4,,,,
17,18/10/20 14:20:00,28.060,2669.5,,,,
18,18/10/20 14:25:00,28.060,2325.0,,,,
19,18/10/20 14:30:00,28.060,2583.4,,,,
20,18/10/20 14:35:00,28.060,2411.1,,,,
21,18/10/20 14:40:00,27.961,2583.4,,,,
22,18/10/20 14:45:00,27.961,2583.4,,,,
23,18/10/20 14:50:00,27.961,2152.8,,,,
24,18/10/20 14:55:00,27.961,2411.1,,,,
25,18/10/20 15:00:00,27.862,1808.3,,,,
26,18/10/20 15:05:00,27.961,2238.9,,,,
27,18/10/20 15:10:00,27.961,2238.9,,,,
28,18/10/20 15:15:00,27.961,2066.7,,,,
29,18/10/20 15:20:00,27.961,2325.0,,,,
30,18/10/20 15:25:00,27.764,1722.2,,,,
31,18/10/20 15:30:00,27.961,1130.2,,,,
32,18/10/20 15:35:00,27.961,1377.8,,,,
33,18/10/20 15:40:00,27.862,1636.1,,,,
34,18/10/20 15:45:00,27.862,1463.9,,,,
35,18/10/20 15:50:00,27.862,1356.3,,,,
36,18/10/20 15:55:00,27.862,818.1,,,,
37,18/10/20 16:00:00,27.764,1237.9,,,,
38,18/10/20 16:05:00,27.862,1162.5,,,,
39,18/10/20 16:10:00,27.764,839.6,,,,
40,18/10/20 16:15:00,27.764,968.8,,,,
41,18/10/20 16:20:00,27.764,1033.3,,,,
42,18/10/20 16:25:00,27.764,990.3,,,,
43,18/10/20 16:30:00,27.862,1324.0,,,,
44,18/10/20 16:35:00,27.764,624.3,,,,
45,18/10/20 16:40:00,27.764,462.9,,,,
46,18/10/20 16:45:00,27.764,398.3,,,,
47,18/10/20 16:50:00,27.764,322.9,,,,
48,18/10/20 16:55:00,27.764,279.9,,,,
49,18/10/20 17:00:00,27.764,258.3,,,,
50,18/10/20 17:05:00,27.764,269.1,,,,
51,18/10/20 17:10:00,27.764,226.0,,,,
52,18/10/20 17:15:00,27.764,290.6,,,,
53,18/10/20 17:20:00,27.764,226.0,,,,
54,18/10/20 17:25:00,27.665,172.2,,,,
55,18/10/20 17:30:00,27.665,118.4,,,,
56,18/10/20 17:35:00,27.665,86.1,,,,
57,18/10/20 17:40:00,27.665,53.8,,,,
58,18/10/20 17:45:00,27.665,32.3,,,,
59,18/10/20 17:50:00,27.665,10.8,,,,
60,18/10/20 17:55:00,27.665,0.0,,,,
61,18/10/20 18:00:00,27.665,0.0,,,,
62,18/10/20 18:05:00,27.665,0.0,,,,
63,18/10/20 18:10:00,27.665,0.0,,,,
64,18/10/20 18:15:00,27.665,0.0,,,,
65,18/10/20 18:20:00,27.665,0.0,,,,
66,18/10/20 18:25:00,27.665,0.0,,,,
67,18/10/20 18:30:00,27.665,0.0,,,,
68,18/10/20 18:35:00,27.665,0.0,,,,
69,18/10/20 18:40:00,27.665,0.0,,,,
70,18/10/20 18:45:00,27.764,0.0,,,,
71,18/10/20 18:50:00,27.764,0.0,,,,
72,18/10/20 18:55:00,27.764,0.0,,,,
73,18/10/20 19:00:00,27.764,0.0,,,,
74,18/10/20 19:05:00,27.764,0.0,,,,
75,18/10/20 19:10:00,27.764,0.0,,,,
76,18/10/20 19:15:00,27.764,0.0,,,,
77,18/10/20 19:20:00,27.764,0.0,,,,
78,18/10/20 19:25:00,27.764,0.0,,,,
79,18/10/20 19:30:00,27.764,0.0,,,,
80,18/10/20 19:35:00,27.764,0.0,,,,
81,18/10/20 19:40:00,27.764,0.0,,,,
82,18/10/20 19:45:00,27.764,0.0,,,,
83,18/10/20 19:50:00,27.764,0.0,,,,
84,18/10/20 19:55:00,27.764,0.0,,,,
85,18/10/20 20:00:00,27.764,0.0,,,,
86,18/10/20 20:05:00,27.764,0.0,,,,
87,18/10/20 20:10:00,27.764,0.0,,,,
88,18/10/20 20:15:00,27.764,0.0,,,,
89,18/10/20 20:20:00,27.764,0.0,,,,
90,18/10/20 20:25:00,27.764,0.0,,,,
91,18/10/20 20:30:00,27.764,0.0,,,,
92,18/10/20 20:35:00,27.764,0.0,,,,
93,18/10/20 20:40:00,27.764,0.0,,,,
94,18/10/20 20:45:00,27.665,0.0,,,,
95,18/10/20 20:50:00,27.665,0.0,,,,
96,18/10/20 20:55:00,27.665,0.0,,,,
97,18/10/20 21:00:00,27.665,0.0,,,,
98,18/10/20 21:05:00,27.665,0.0,,,,
99,18/10/20 21:10:00,27.665,0.0,,,,
100,18/10/20 21:15:00,27.665,0.0,,,,
101,18/10/20 21:20:00,27.665,0.0,,,,
102,18/10/20 21:25:00,27.665,0.0,,,,
103,18/10/20 21:30:00,27.665,0.0,,,,
104,18/10/20 21:35:00,27.764,0.0,,,,
105,18/10/20 21:40:00,27.665,0.0,,,,
106,18/10/20 21:45:00,27.764,0.0,,,,
107,18/10/20 21:50:00,27.764,0.0,,,,
108,18/10/20 21:55:00,27.764,0.0,,,,
109,18/10/20 22:00:00,27.764,0.0,,,,
110,18/10/20 22:05:00,27.764,0.0,,,,
111,18/10/20 22:10:00,27.764,0.0,,,,
112,18/10/20 22:15:00,27.764,0.0,,,,
113,18/10/20 22:20:00,27.764,0.0,,,,
114,18/10/20 22:25:00,27.764,0.0,,,,
115,18/10/20 22:30:00,27.764,0.0,,,,
116,18/10/20 22:35:00,27.764,0.0,,,,
117,18/10/20 22:40:00,27.764,0.0,,,,
118,18/10/20 22:45:00,27.665,0.0,,,,
119,18/10/20 22:50:00,27.764,0.0,,,,
120,18/10/20 22:55:00,27.764,0.0,,,,
121,18/10/20 23:00:00,27.764,0.0,,,,
122,18/10/20 23:05:00,27.764,0.0,,,,
123,18/10/20 23:10:00,27.764,0.0,,,,
124,18/10/20 23:15:00,27.764,0.0,,,,
125,18/10/20 23:20:00,27.764,0.0,,,,
126,18/10/20 23:25:00,27.764,0.0,,,,
127,18/10/20 23:30:00,27.764,0.0,,,,
128,18/10/20 23:35:00,27.764,0.0,,,,
129,18/10/20 23:40:00,27.764,0.0,,,,
130,18/10/20 23:45:00,27.764,0.0,,,,
131,18/10/20 23:50:00,27.764,0.0,,,,
132,18/10/20 23:55:00,27.665,0.0,,,,
133,18/10/21 00:00:00,27.665,0.0,,,,
134,18/10/21 00:05:00,27.764,0.0,,,,
135,18/10/21 00:10:00,27.764,0.0,,,,
136,18/10/21 00:15:00,27.764,0.0,,,,
137,18/10/21 00:20:00,27.764,0.0,,,,
138,18/10/21 00:25:00,27.764,0.0,,,,
139,18/10/21 00:30:00,27.764,0.0,,,,
140,18/10/21 00:35:00,27.764,0.0,,,,
141,18/10/21 00:40:00,27.764,0.0,,,,
142,18/10/21 00:45:00,27.764,0.0,,,,
143,18/10/21 00:50:00,27.764,0.0,,,,
144,18/10/21 00:55:00,27.764,0.0,,,,
145,18/10/21 01:00:00,27.764,0.0,,,,
146,18/10/21 01:05:00,27.764,0.0,,,,
147,18/10/21 01:10:00,27.764,0.0,,,,
148,18/10/21 01:15:00,27.764,0.0,,,,
149,18/10/21 01:20:00,27.764,0.0,,,,
150,18/10/21 01:25:00,27.764,0.0,,,,
151,18/10/21 01:30:00,27.764,0.0,,,,
152,18/10/21 01:35:00,27.764,0.0,,,,
153,18/10/21 01:40:00,27.764,0.0,,,,
154,18/10/21 01:45:00,27.764,0.0,,,,
155,18/10/21 01:50:00,27.764,0.0,,,,
156,18/10/21 01:55:00,27.764,0.0,,,,
157,18/10/21 02:00:00,27.764,0.0,,,,
158,18/10/21 02:05:00,27.764,0.0,,,,
159,18/10/21 02:10:00,27.764,0.0,,,,
160,18/10/21 02:15:00,27.764,0.0,,,,
161,18/10/21 02:20:00,27.764,0.0,,,,
162,18/10/21 02:25:00,27.764,0.0,,,,
163,18/10/21 02:30:00,27.764,0.0,,,,
164,18/10/21 02:35:00,27.764,0.0,,,,
165,18/10/21 02:40:00,27.764,0.0,,,,
166,18/10/21 02:45:00,27.764,0.0,,,,
167,18/10/21 02:50:00,27.764,0.0,,,,
168,18/10/21 02:55:00,27.764,0.0,,,,
169,18/10/21 03:00:00,27.764,0.0,,,,
170,18/10/21 03:05:00,27.764,0.0,,,,
171,18/10/21 03:10:00,27.764,0.0,,,,
172,18/10/21 03:15:00,27.764,0.0,,,,
173,18/10/21 03:20:00,27.764,0.0,,,,
174,18/10/21 03:25:00,27.764,0.0,,,,
175,18/10/21 03:30:00,27.665,0.0,,,,
176,18/10/21 03:35:00,27.665,0.0,,,,
177,18/10/21 03:40:00,27.764,0.0,,,,
178,18/10/21 03:45:00,27.665,0.0,,,,
179,18/10/21 03:50:00,27.665,0.0,,,,
180,18/10/21 03:55:00,27.665,0.0,,,,
181,18/10/21 04:00:00,27.764,0.0,,,,
182,18/10/21 04:05:00,27.665,0.0,,,,
183,18/10/21 04:10:00,27.665,0.0,,,,
184,18/10/21 04:15:00,27.764,0.0,,,,
185,18/10/21 04:20:00,27.665,0.0,,,,
