"","Time","Id_Site","Archipelago","Island","Depth","Date_Time","Quantum","Battery"
"2","13:05:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 13:05:00,219.9,1.48
"3","13:10:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 13:10:00,389.7,1.49
"4","13:15:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 13:15:00,412.9,1.49
"5","13:20:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 13:20:00,354.7,1.48
"6","13:25:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 13:25:00,349.3,1.48
"7","13:30:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 13:30:00,351.3,1.49
"8","13:35:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 13:35:00,349.2,1.49
"9","13:40:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 13:40:00,344.1,1.49
"10","13:45:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 13:45:00,315.9,1.49
"11","13:50:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 13:50:00,310.8,1.49
"12","13:55:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 13:55:00,313,1.49
"13","14:00:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 14:00:00,324.1,1.49
"14","14:05:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 14:05:00,290.5,1.49
"15","14:10:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 14:10:00,304.6,1.49
"16","14:15:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 14:15:00,282.6,1.49
"17","14:20:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 14:20:00,287.9,1.49
"18","14:25:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 14:25:00,252,1.49
"19","14:30:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 14:30:00,261.6,1.49
"20","14:35:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 14:35:00,236.2,1.49
"21","14:40:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 14:40:00,244,1.49
"22","14:45:00","TIK2","Tuamotu","Tikehau","20",2018-10-20 14:45:00,248.1,1.49
