site;depth;ID;septa dist;Width valley;Height septa
Rangiroa_3;40;2480;0.6000;0.2270;1.9900
Rangiroa_3;40;2480;0.0560;0.2560;2.4500
Rangiroa_3;40;2480;0.0840;0.2310;2.4200
Rangiroa_3;40;2480;0.0640;0.2670;0.4600
Rangiroa_3;40;2480;0.0520;0.2790;2.6800
Rangiroa_3;40;2480;0.0680;0.1400;2.4100
Rangiroa_3;40;2480;0.0560;0.1950;2.4000
Rangiroa_3;40;2480;0.0440;0.2480;2.4900
Rangiroa_3;40;2480;0.0760;0.1740;2.4200
Rangiroa_3;40;2480;0.0440;0.2160;2.3900
Rangiroa_3;60;2470;0.0760;0.1520;2.9000
Rangiroa_3;60;2470;0.0680;0.1320;2.5500
Rangiroa_3;60;2470;0.0600;0.1690;2.3900
Rangiroa_3;60;2470;0.7600;0.1440;2.4400
Rangiroa_3;60;2470;0.6000;0.1640;2.3500
Rangiroa_3;60;2470;0.0840;0.1170;2.1000
Rangiroa_3;60;2470;0.0776;0.1370;2.3500
Rangiroa_3;60;2470;0.0560;0.1300;2.1500
Rangiroa_3;60;2470;0.0480;0.1340;2.0500
Rangiroa_3;60;2470;0.0400;0.1680;NA
Rangiroa_3;60;2469;0.0600;0.0760;2.4100
Rangiroa_3;60;2469;0.0640;0.1520;2.1900
Rangiroa_3;60;2469;0.0320;0.0999;1.8400
Rangiroa_3;60;2469;0.0560;0.1340;1.8700
Rangiroa_3;60;2469;0.0640;0.1810;2.0300
Rangiroa_3;60;2469;0.0855;0.1310;1.7800
Rangiroa_3;60;2469;0.0843;0.1330;1.8800
Rangiroa_3;60;2469;0.0565;0.1160;1.9700
Rangiroa_3;60;2469;0.0600;0.1200;1.5500
Rangiroa_3;60;2469;0.0680;0.1540;1.6800
Rangiroa_3;60;2468;0.0720;0.1160;2.3100
Rangiroa_3;60;2468;0.0843;0.0990;2.2500
Rangiroa_3;60;2468;0.0680;0.1480;2.6900
Rangiroa_3;60;2468;0.0480;0.2220;3.0500
Rangiroa_3;60;2468;0.0840;0.1440;1.5000
Rangiroa_3;60;2468;0.0560;0.1180;1.8700
Rangiroa_3;60;2468;0.0600;0.1320;1.8400
Rangiroa_3;60;2468;0.0600;0.1010;2.0200
Rangiroa_3;60;2468;0.0560;0.1140;2.1100
Rangiroa_3;60;2468;0.0888;0.1090;2.4700
Rangiroa_3;60;2467;0.0645;0.0999;1.2400
Rangiroa_3;60;2467;0.0400;0.1160;1.4900
Rangiroa_3;60;2467;0.0520;0.1640;1.5100
Rangiroa_3;60;2467;0.0612;0.1320;1.5800
