site;depth;ID;size;distance;part
Moorea_2;6;235;0.876;0.425;apical
Moorea_2;6;235;0.923;0.292;apical
Moorea_2;6;235;0.878;0.234;apical
Moorea_2;6;235;0.709;0.161;apical
Moorea_2;6;235;0.849;0.163;apical
Moorea_2;6;235;0.98;0.105;apical
Moorea_2;6;235;0.936;0.137;apical
Moorea_2;6;235;0.915;0.18;apical
Moorea_2;6;235;0.675;0.167;apical
Moorea_2;6;235;0.796;0.269;apical
Moorea_2;6;235;0.711;0.343;basal
Moorea_2;6;235;0.784;0.399;basal
Moorea_2;6;235;0.627;0.315;basal
Moorea_2;6;235;0.523;0.394;basal
Moorea_2;6;235;0.659;0.25;basal
Moorea_2;6;235;0.74;0.593;basal
Moorea_2;6;235;0.858;0.457;basal
Moorea_2;6;235;0.735;0.632;basal
Moorea_2;6;235;0.711;0.217;basal
Moorea_2;6;235;0.6034;0.564;basal
Moorea_2;6;237;0.834;0.112;apical
Moorea_2;6;237;0.727;0.173;apical
Moorea_2;6;237;0.888;0.125;apical
Moorea_2;6;237;0.608;0.168;apical
Moorea_2;6;237;0.669;0.365;apical
Moorea_2;6;237;0.722;0.0852;apical
Moorea_2;6;237;0.931;0.137;apical
Moorea_2;6;237;0.68;0.0708;apical
Moorea_2;6;237;0.779;0.116;apical
Moorea_2;6;237;0.625;0.106;apical
Moorea_2;6;237;0.63;0.285;basal
Moorea_2;6;237;0.631;0.48;basal
Moorea_2;6;237;0.526;0.3;basal
Moorea_2;6;237;0.658;0.298;basal
Moorea_2;6;237;0.726;0.494;basal
Moorea_2;6;237;0.6;0.258;basal
Moorea_2;6;237;0.625;0.357;basal
Moorea_2;6;237;0.757;0.341;basal
Moorea_2;6;237;0.629;0.7;basal
Moorea_2;6;237;0.62;0.402;basal
Moorea_2;6;238;0.678;0.163;apical
Moorea_2;6;238;0.485;0.0789;apical
Moorea_2;6;238;0.554;0.14;apical
Moorea_2;6;238;0.604;0.143;apical
Moorea_2;6;238;0.566;0.126;apical
Moorea_2;6;238;0.582;0.0934;apical
Moorea_2;6;238;0.538;0.141;apical
Moorea_2;6;238;0.737;0.188;apical
Moorea_2;6;238;0.604;0.126;apical
Moorea_2;6;238;0.651;0.207;apical
Moorea_2;6;238;0.761;0.403;basal
Moorea_2;6;238;0.614;0.494;basal
Moorea_2;6;238;0.692;0.404;basal
Moorea_2;6;238;0.646;0.618;basal
Moorea_2;6;238;0.636;0.617;basal
Moorea_2;6;238;0.605;0.398;basal
Moorea_2;6;238;0.706;0.664;basal
Moorea_2;6;238;0.643;0.315;basal
Moorea_2;6;238;0.718;0.464;basal
Moorea_2;6;238;0.588;0.26;basal
Moorea_2;6;239;0.998;0.108;apical
Moorea_2;6;239;1.02;0.134;apical
Moorea_2;6;239;0.716;0.267;apical
Moorea_2;6;239;0.739;0.224;apical
Moorea_2;6;239;1.01;0.266;apical
Moorea_2;6;239;0.583;0.352;apical
Moorea_2;6;239;0.623;0.407;apical
Moorea_2;6;239;0.874;0.0934;apical
Moorea_2;6;239;0.83;0.298;apical
