Island_Site,Depth,ID_LAB,Species,Zoox,Chl_A,Chl_C2,IndexLoss,RatioChlA,RatioChlC2
Bora_2,40,855,Pachyseris speciosa,8512599.921,30.64008058,14.27260399,23.9701828750539,3.5993798445070843e-6,1.6766445178270936e-6
Bora_2,40,852,Pachyseris speciosa,12557444.37,39.72142681,16.70335657,23.9701828750539,3.163177605221595e-6,1.3301557289717862e-6
Bora_2,40,854,Pachyseris speciosa,5653066.774,19.46546689,8.444296106,23.9701828750539,3.443346358392051e-6,1.49375488448812e-6
Bora_2,40,853,Pachyseris speciosa,7301643.551,19.50466948,8.350938407,23.9701828750539,2.6712711109170387e-6,1.143706666680037e-6
Bora_2,40,856,Pachyseris speciosa,8072797.64,25.92017032,11.28197214,23.9701828750539,3.2108039215014934e-6,1.3975294121208768e-6
Bora_2,40,857,Pachyseris speciosa,11165364.33,35.62579103,16.91652189,23.9701828750539,3.1907414730997858e-6,1.5150891086059168e-6
Bora_2,60,1033,Pachyseris speciosa,10595916.82,22.68226459,9.96997568,11.803795404123,2.140660876762149e-6,9.409261934919567e-7
Bora_2,60,1032,Pachyseris speciosa,11508134.26,50.41772471,21.63164781,11.803795404123,4.381051139213943e-6,1.8796833023739853e-6
Bora_2,60,1031,Pachyseris speciosa,9575770.323,28.58311993,11.52391936,11.803795404123,2.984942095086212e-6,1.2034456729105908e-6
Bora_2,60,1029,Pachyseris speciosa,13185493.83,44.45060274,18.03805926,11.803795404123,3.3711746646048828e-6,1.368023032930273e-6
Bora_2,60,1028,Pachyseris speciosa,19116774.94,66.0418403,29.70850341,11.803795404123,3.4546538580529e-6,1.554054148947364e-6
Bora_2,60,1027,Pachyseris speciosa,9350652.692,32.36078887,12.7999331,11.803795404123,3.4608053508057724e-6,1.3688812451510524e-6
Bora_2,60,1030,Pachyseris speciosa,8594964.673,28.87928631,11.43059574,11.803795404123,3.3600238521887873e-6,1.3299177105297217e-6
Bora_2,90,913,Pachyseris speciosa,8235943.057,19.09425842,NA,4.0898121591231,2.3184058325623266e-6,NA
Bora_2,90,918,Pachyseris speciosa,19322646.86,78.46744149,29.68533744,4.0898121591231,4.060905426597441e-6,1.5362976746965195e-6
Bora_2,90,914,Pachyseris speciosa,17247432.9,62.53888372,25.52712467,4.0898121591231,3.625982143696295e-6,1.4800535719144617e-6
Bora_2,90,911,Pachyseris speciosa,8546704.529,32.94456532,14.58314807,4.0898121591231,3.854651252797511e-6,1.7062890170729104e-6
Bora_2,90,912,Pachyseris speciosa,15860159.13,57.81728802,24.32756614,4.0898121591231,3.6454418613390037e-6,1.5338790702284712e-6
Bora_2,90,917,Pachyseris speciosa,10975694.96,38.27684544,15.2564767,4.0898121591231,3.487418844956675e-6,1.3900237529924937e-6
Bora_2,90,916,Pachyseris speciosa,12225079.53,29.63934577,15.5140574,4.0898121591231,2.4244705891087156e-6,1.2690352943658928e-6
Bora_2,90,910,Pachyseris speciosa,11032417.5,39.50082031,16.36586232,4.0898121591231,3.580431968786533e-6,1.4834339182685936e-6
Bora_2,90,915,Pachyseris speciosa,15766747.01,40.75528916,17.28773303,4.0898121591231,2.5848888888843786e-6,1.0964679663493882e-6
Bora_2,90,909,Pachyseris speciosa,10510229.01,51.7360184,20.57050659,4.0898121591231,4.922444444433661e-6,1.9571891887824812e-6
Moorea_2,40,182,Pachyseris speciosa,10304270.38,23.97885498,11.6773553,23.9135106993185,2.3270793657105104e-6,1.1332539684386658e-6
Moorea_2,40,117,Pachyseris speciosa,9641961.158,27.27163066,12.93036227,23.9135106993185,2.8284319147430442e-6,1.3410510640018075e-6
Moorea_2,40,183,Pachyseris speciosa,7668234.654,16.03452163,7.126851456,23.9135106993185,2.0910316850614205e-6,9.293992395345391e-7
Moorea_2,40,217,Pachyseris speciosa,7525995.411,21.80996758,9.845502408,23.9135106993185,2.8979512195984777e-6,1.308199363716035e-6
Moorea_2,40,216,Pachyseris speciosa,8511185.088,29.55343987,13.6654528,23.9135106993185,3.4723060965584775e-6,1.6055875484680802e-6
Moorea_2,40,126,Pachyseris speciosa,6442690.414,24.82695811,11.26465628,23.9135106993185,3.8535078538076095e-6,1.7484397908553612e-6
Moorea_2,40,215,Pachyseris speciosa,7936812.944,23.49218656,11.58874944,23.9135106993185,2.959901754741418e-6,1.4601263154073397e-6
Moorea_2,40,219,Pachyseris speciosa,7801533.371,17.03752693,8.32404449,23.9135106993185,2.1838690062305187e-6,1.066975438564717e-6
Moorea_2,60,109,Pachyseris speciosa,9678383.503,24.14486125,10.89738771,12.2173416036179,2.4947204502193823e-6,1.125951219707521e-6
Moorea_2,60,145,Pachyseris speciosa,6990987.78,9.598757508,4.291112608,12.2173416036179,1.3730187793290635e-6,6.138063379650192e-7
Moorea_2,60,137,Pachyseris speciosa,9820284.578,30.00431587,13.12340684,12.2173416036179,3.0553407726307133e-6,1.3363570816878215e-6
Moorea_2,60,138,Pachyseris speciosa,5306192.866,8.050147211,2.954215784,12.2173416036179,1.5171229946393735e-6,5.567486630441676e-7
Moorea_2,60,152,Pachyseris speciosa,9097399.056,31.37827309,12.41889781,12.2173416036179,3.4491477065969877e-6,1.3651042164418824e-6
Moorea_2,60,123,Pachyseris speciosa,11836060.22,29.83200455,13.6719136,12.2173416036179,2.520433657442138e-6,1.1551067961700519e-6
Moorea_2,60,136,Pachyseris speciosa,6684299.462,16.11952129,6.965512884,12.2173416036179,2.4115498387884766e-6,1.042070739588896e-6
Moorea_2,90,96,Pachyseris speciosa,8657043.679,17.55410127,6.238679251,3.61502054934829,2.027724696894186e-6,7.206477733424868e-7
Moorea_2,90,93,Pachyseris speciosa,7928647.734,17.17719121,7.182705718,3.61502054934829,2.1664717346868574e-6,9.05918128661308e-7
Rangiroa_3,40,2480,Pachyseris speciosa,5646416.656,14.42203009,6.576080562,22.646012618777,2.554191617204665e-6,1.164646706511132e-6
Rangiroa_3,40,2474,Pachyseris speciosa,8192893.832,22.47581045,8.190007217,22.646012618777,2.7433298796346468e-6,9.996476684479022e-7
Rangiroa_3,40,2477,Pachyseris speciosa,4696132.209,12.37825686,4.317077239,22.646012618777,2.635840796023041e-6,9.192835820777038e-7
Rangiroa_3,40,2476,Pachyseris speciosa,5842219.506,22.65221339,9.773961813,22.646012618777,3.877330074081609e-6,1.6729877751019236e-6
Rangiroa_3,40,2473,Pachyseris speciosa,6409558.473,23.0331491,8.060619258,22.646012618777,3.593562520261916e-6,1.2575935287828364e-6
Rangiroa_3,40,2478,Pachyseris speciosa,6155268.615,17.76174789,7.373749875,22.646012618777,2.8856170219307314e-6,1.1979574468985216e-6
Rangiroa_3,40,2479,Pachyseris speciosa,10959588.33,30.32263527,10.82008804,22.646012618777,2.766767724933332e-6,9.872713932494943e-7
Rangiroa_3,40,2475,Pachyseris speciosa,5585959.381,15.46152179,5.057310392,22.646012618777,2.767925925596701e-6,9.053611111462537e-7
Rangiroa_3,60,2469,Pachyseris speciosa,6789920.376,20.62229492,8.080568939,11.7754365929922,3.037192452637975e-6,1.190083018876332e-6
Rangiroa_3,60,2468,Pachyseris speciosa,4671634.643,11.45050683,4.923700679,11.7754365929922,2.4510707075857257e-6,1.0539567100731426e-6
Rangiroa_3,60,2465,Pachyseris speciosa,6390124.856,19.07220271,7.685895651,11.7754365929922,2.9846369421236233e-6,1.2027770699634041e-6
Rangiroa_3,60,2470,Pachyseris speciosa,7287633.796,21.38920519,9.566112503,11.7754365929922,2.9349999998271043e-6,1.312650000093391e-6
Rangiroa_3,60,2466,Pachyseris speciosa,9930032.17,29.60174622,11.12914075,11.7754365929922,2.9810322578239944e-6,1.120755759847654e-6
Rangiroa_3,60,2467,Pachyseris speciosa,4712116.683,14.5367299,5.176965493,11.7754365929922,3.0849681529416404e-6,1.098649681506624e-6
Rangiroa_3,60,2464,Pachyseris speciosa,6699036.317,25.89185397,8.976673728,11.7754365929922,3.865011733746658e-6,1.3399947848051053e-6
Rangiroa_3,60,2463,Pachyseris speciosa,6035010.589,21.23112543,9.381794092,11.7754365929922,3.517993070086393e-6,1.554561330695952e-6
Rangiroa_3,90,2563,Pachyseris speciosa,4569489.398,15.04254343,6.538332759,3.38025998156964,3.2919528025568688e-6,1.4308672566045858e-6
Rangiroa_3,90,2569,Pachyseris speciosa,10151046.22,43.74616732,17.53614347,3.38025998156964,4.309523015845355e-6,1.7275207983438772e-6
Rangiroa_3,90,2567,Pachyseris speciosa,10875501.35,48.48711911,15.73271635,3.38025998156964,4.4583801288388424e-6,1.4466198700807482e-6
Rangiroa_3,90,2564,Pachyseris speciosa,7382807.319,46.2093664,17.93997152,3.38025998156964,6.259050846563208e-6,2.4299661016251427e-6
Rangiroa_3,90,2572,Pachyseris speciosa,7823456.936,30.8968385,14.04560379,3.38025998156964,3.949256543846591e-6,1.7953193715898789e-6
Rangiroa_3,90,2566,Pachyseris speciosa,9591152.062,39.00642621,15.48188516,3.38025998156964,4.066917713101731e-6,1.614184100087308e-6
Rangiroa_3,90,2570,Pachyseris speciosa,15913120.22,53.02746299,25.13531034,3.38025998156964,3.3323108389110123e-6,1.5795337427545684e-6
Rangiroa_3,90,2568,Pachyseris speciosa,6210093.455,29.3683098,10.80387938,3.38025998156964,4.7291252559741065e-6,1.7397289522754854e-6
Rangiroa_3,90,2571,Pachyseris speciosa,14601483.13,51.10368372,26.5656558,3.38025998156964,3.4998967752120394e-6,1.8193806453413336e-6
Rangiroa_3,90,2565,Pachyseris speciosa,10802135.74,44.50512411,15.21151881,3.38025998156964,4.1200300737935365e-6,1.4081954880155948e-6
Tikehau_2,20,1833,Pachyseris speciosa,8633001.251,19.53903062,6.021025058,55.5655039501645,2.2632952378799554e-6,6.97442857117918e-7
Tikehau_2,20,1831,Pachyseris speciosa,10629536.21,24.11040762,8.789416791,55.5655039501645,2.268246435561086e-6,8.268861987347236e-7
Tikehau_2,20,1832,Pachyseris speciosa,10602558.14,36.49452682,9.837754115,55.5655039501645,3.44204920530622e-6,9.278660852502525e-7
Tikehau_2,20,1828,Pachyseris speciosa,9637438.443,29.54090692,10.41553533,55.5655039501645,3.0652239279885175e-6,1.0807368982538258e-6
Tikehau_2,20,1830,Pachyseris speciosa,8486570.548,15.82421069,4.853175607,55.5655039501645,1.864617821827833e-6,5.718653464966164e-7
Tikehau_2,20,1827,Pachyseris speciosa,7046778.235,22.07302475,7.058721927,55.5655039501645,3.132356945812131e-6,1.0016949152650607e-6
Tikehau_2,20,1834,Pachyseris speciosa,11612530.99,31.88982107,12.24186344,55.5655039501645,2.7461559497633684e-6,1.0541942536508142e-6
Tikehau_2,40,1740,Pachyseris speciosa,7092357.425,12.84156337,1.494372152,23.5045034478894,1.8106198828522803e-6,2.107017543606102e-7
Tikehau_2,40,1739,Pachyseris speciosa,11752503.47,39.55395207,12.85164237,23.5045034478894,3.365576719119233e-6,1.0935238098678901e-6
Tikehau_2,40,1741,Pachyseris speciosa,8888482.558,32.74204412,2.408212255,23.5045034478894,3.683648351262254e-6,2.709362637869509e-7
Tikehau_2,40,1742,Pachyseris speciosa,7209728.107,16.47505269,4.485274851,23.5045034478894,2.2851142852397162e-6,6.221142856476377e-7
Tikehau_2,40,1738,Pachyseris speciosa,5141157.49,10.11387196,2.292208436,23.5045034478894,1.9672363625647266e-6,4.4585454549068874e-7
Tikehau_2,40,1743,Pachyseris speciosa,15861397.5,37.62785459,16.48387465,23.5045034478894,2.3722912555466817e-6,1.0392447859654232e-6
Tikehau_2,40,1737,Pachyseris speciosa,7846683.572,17.76846534,5.181607995,23.5045034478894,2.264455445024539e-6,6.603564356144016e-7
Tikehau_2,60,1850,Pachyseris speciosa,6958536.83,15.66244115,4.544225085,10.2257986409944,2.2508239206948335e-6,6.530431893970446e-7
Tikehau_2,60,1848,Pachyseris speciosa,5884129.786,16.21257597,6.639812686,10.2257986409944,2.755305637304989e-6,1.1284272997849201e-6
Tikehau_2,60,1851,Pachyseris speciosa,6928278.461,14.77348176,5.916545604,10.2257986409944,2.132345263424596e-6,8.539705263442933e-7
Tikehau_2,60,1847,Pachyseris speciosa,4551072.947,11.50219358,4.067437914,10.2257986409944,2.527358650135915e-6,8.937316455630963e-7
Tikehau_2,60,1845,Pachyseris speciosa,6902193.569,18.76688321,6.839141461,10.2257986409944,2.7189737613688762e-6,9.90864917454186e-7
Tikehau_2,60,1849,Pachyseris speciosa,5960956.015,18.0385368,5.955189137,10.2257986409944,3.026114729685688e-6,9.990325582028305e-7
Tikehau_2,60,1846,Pachyseris speciosa,6454510.73,19.08479164,7.316055286,10.2257986409944,2.956814612034892e-6,1.1334794521288215e-6
Tikehau_2,90,1836,Pachyseris speciosa,11012399.96,56.47665939,20.43340802,2.90674498402584,5.1284606076003795e-6,1.8554909097217352e-6
Tikehau_2,90,1841,Pachyseris speciosa,6720562.887,31.10037018,11.05111998,2.90674498402584,4.627643651718425e-6,1.6443741641606931e-6
Tikehau_2,90,1844,Pachyseris speciosa,17035121.07,78.72412637,35.55324994,2.90674498402584,4.621283643744599e-6,2.0870559002138047e-6
Tikehau_2,90,1837,Pachyseris speciosa,7437161.145,33.58067337,12.81731124,2.90674498402584,4.5152542368368976e-6,1.7234144843852246e-6
Tikehau_2,90,1843,Pachyseris speciosa,8896344.873,41.69681142,17.40913305,2.90674498402584,4.686959871187989e-6,1.956886035616259e-6
Tikehau_2,90,1840,Pachyseris speciosa,12473496.64,62.31861175,26.94139938,2.90674498402584,4.9960819767375185e-6,2.1598915009608724e-6
Tikehau_2,90,1839,Pachyseris speciosa,4370929.616,20.43607378,8.723840585,2.90674498402584,4.675452495321078e-6,1.9958776167582194e-6
Tikehau_2,90,1838,Pachyseris speciosa,11060113.2,57.15529224,23.77165468,2.90674498402584,5.167695050354458e-6,2.149313867782113e-6
Tikehau_2,90,1842,Pachyseris speciosa,21991018.95,78.76686559,39.16630958,2.90674498402584,3.5817742583501344e-6,1.781013861570066e-6
