ID_LAB;Species;Island_Site;Depth;Nb Zoox / cm2;Sum Extract CHl A / cm2;Sum Extract CHl C2 / cm2
235;Pocillopora verrucosa;Moorea_2;6;2504696.119;9.504391627;3.166662152
237;Pocillopora verrucosa;Moorea_2;6;1557521.933;10.21264588;3.00776786
238;Pocillopora verrucosa;Moorea_2;6;2786234.033;8.235546374;2.323307072
239;Pocillopora verrucosa;Moorea_2;6;3295311.21;11.45397037;3.624881213
240;Pocillopora verrucosa;Moorea_2;6;3381881.206;12.30161224;3.892046526
118;Pocillopora verrucosa;Moorea_2;20;1009029.722;8.733302179;0.938032932
163;Pocillopora verrucosa;Moorea_2;60;4206892.088;20.40139303;7.6254561
165;Pocillopora verrucosa;Moorea_2;60;3507369.495;17.75576579;6.103918974
166;Pocillopora verrucosa;Moorea_2;60;1431741.944;8.151199671;2.509917628
167;Pocillopora verrucosa;Moorea_2;60;1354433.689;6.362556777;1.637926673
168;Pocillopora verrucosa;Moorea_2;60;1648756.692;9.897168022;3.251335587
108;Pocillopora verrucosa;Moorea_2;60;4370749.569;22.89179268;8.400384233
1143;Pocillopora verrucosa;Bora_2;60;3325697.248;13.25473799;3.89049769
1144;Pocillopora verrucosa;Bora_2;60;2808802.553;21.62048382;6.987546404
1145;Pocillopora verrucosa;Bora_2;60;1928469.212;10.01306729;3.76085632
1146;Pocillopora verrucosa;Bora_2;60;3666809.122;40.47401259;10.87915322
1147;Pocillopora verrucosa;Bora_2;60;2133950.185;24.64738047;9.410237081
1148;Pocillopora verrucosa;Bora_2;60;1737219.437;13.35018624;5.231335245
1019;Pocillopora verrucosa;Bora_2;6;3533552.932;20.59097396;9.689740822
1020;Pocillopora verrucosa;Bora_2;6;1740643.244;5.720194563;1.783209193
1021;Pocillopora verrucosa;Bora_2;6;1312277.452;6.801392221;4.690259378
1022;Pocillopora verrucosa;Bora_2;6;1352387.861;4.980400025;1.062530808
1023;Pocillopora verrucosa;Bora_2;6;1459968.117;9.552222371;3.452013502
1025;Pocillopora verrucosa;Bora_2;6;1660921.231;6.985084884;2.163892645
2573;Pachyseris speciosa;Rangiroa_3;25;4651139.624;10.96083902;4.462017695
2574;Pachyseris speciosa;Rangiroa_3;25;5322582.861;8.174238574;3.687410484
2575;Pachyseris speciosa;Rangiroa_3;25;4566336.772;13.80903268;5.585581864
2576;Pachyseris speciosa;Rangiroa_3;25;5052166.272;13.61070788;6.770024178
2577;Pachyseris speciosa;Rangiroa_3;25;3400011.381;11.889319;4.889106279
2578;Pachyseris speciosa;Rangiroa_3;25;4178506.079;14.41219071;5.783941934
2564;Pachyseris speciosa;Rangiroa_3;90;7382807.319;46.2093664;17.93997152
2565;Pachyseris speciosa;Rangiroa_3;90;10802135.74;44.50512411;15.21151881
2566;Pachyseris speciosa;Rangiroa_3;90;9591152.062;39.00642621;15.48188516
2567;Pachyseris speciosa;Rangiroa_3;90;10875501.35;48.48711911;15.73271635
2568;Pachyseris speciosa;Rangiroa_3;90;6210093.455;29.3683098;10.80387938
2569;Pachyseris speciosa;Rangiroa_3;90;10151046.22;43.74616732;17.53614347
1718;Pocillopora verrucosa;Tikehau_2;60;3536150.031;21.32250767;9.359743224
1855;Pocillopora verrucosa;Tikehau_2;40;4279838.568;24.72263015;9.809327745
1856;Pocillopora verrucosa;Tikehau_2;40;2274469.225;21.53047398;8.349064639
1859;Pocillopora verrucosa;Tikehau_2;40;1889192.244;22.57347019;9.003189607
1860;Pocillopora verrucosa;Tikehau_2;40;2800899.061;18.56957253;7.096036173
1862;Pocillopora verrucosa;Tikehau_2;40;2954264.535;38.17323807;14.73431889
1769;Pocillopora verrucosa;Tikehau_2;6;3104014.105;25.78914682;10.41741211
1771;Pocillopora verrucosa;Tikehau_2;6;1665007.966;7.874478581;3.05922509
1772;Pocillopora verrucosa;Tikehau_2;6;1565493.358;8.682584528;3.356059393
1773;Pocillopora verrucosa;Tikehau_2;6;2051849.716;9.887969005;4.139212216
1774;Pocillopora verrucosa;Tikehau_2;6;2579651.731;15.67361214;6.059742623
1775;Pocillopora verrucosa;Tikehau_2;6;1706953.17;12.61753291;4.584677521
128;Pocillopora verrucosa;Moorea_2;40;2934434.547;14.31556445;4.04299255
140;Pocillopora verrucosa;Moorea_2;40;4453281.017;21.12732465;6.425883572
143;Pocillopora verrucosa;Moorea_2;40;2710037.911;16.78150047;NA
172;Pocillopora verrucosa;Moorea_2;40;2373930.454;15.8593316;5.18785774
232;Pocillopora verrucosa;Moorea_2;40;2616923.818;13.16226858;4.613808524
233;Pocillopora verrucosa;Moorea_2;40;4000161.21;20.20967662;7.532514092
1827;Pachyseris speciosa;Tikehau_2;20;7046778.235;22.07302475;7.058721927
1828;Pachyseris speciosa;Tikehau_2;20;9637438.443;29.54090692;10.41553533
1830;Pachyseris speciosa;Tikehau_2;20;8486570.548;15.82421069;4.853175607
1831;Pachyseris speciosa;Tikehau_2;20;10629536.21;24.11040762;8.789416791
1832;Pachyseris speciosa;Tikehau_2;20;10602558.14;36.49452682;9.837754115
1833;Pachyseris speciosa;Tikehau_2;20;8633001.251;19.53903062;6.021025058
1836;Pachyseris speciosa;Tikehau_2;90;11012399.96;56.47665939;20.43340802
1837;Pachyseris speciosa;Tikehau_2;90;7437161.145;33.58067337;12.81731124
1838;Pachyseris speciosa;Tikehau_2;90;11060113.2;57.15529224;23.77165468
1839;Pachyseris speciosa;Tikehau_2;90;4370929.616;20.43607378;8.723840585
1840;Pachyseris speciosa;Tikehau_2;90;12473496.64;62.31861175;26.94139938
1841;Pachyseris speciosa;Tikehau_2;90;6720562.887;31.10037018;11.05111998
1864;Pachyseris speciosa;Tikehau_2;10;5468286.077;24.06193973;9.709112813
1865;Pachyseris speciosa;Tikehau_2;10;8292470.437;55.41848002;21.58240318
1866;Pachyseris speciosa;Tikehau_2;10;6242468.326;18.58572809;8.365993204
1867;Pachyseris speciosa;Tikehau_2;10;7360154.162;25.7099979;9.20071635
1868;Pachyseris speciosa;Tikehau_2;10;6089286.336;22.4361874;8.439884692
1869;Pachyseris speciosa;Tikehau_2;10;7233085.347;27.02762891;9.241232783
1845;Pachyseris speciosa;Tikehau_2;60;6902193.569;18.76688321;6.839141461
1846;Pachyseris speciosa;Tikehau_2;60;6454510.73;19.08479164;7.316055286
1847;Pachyseris speciosa;Tikehau_2;60;4551072.947;11.50219358;4.067437914
1848;Pachyseris speciosa;Tikehau_2;60;5884129.786;16.21257597;6.639812686
1849;Pachyseris speciosa;Tikehau_2;60;5960956.015;18.0385368;5.955189137
1850;Pachyseris speciosa;Tikehau_2;60;6958536.83;15.66244115;4.544225085
2463;Pachyseris speciosa;Rangiroa_3;60;6035010.589;21.23112543;9.381794092
2464;Pachyseris speciosa;Rangiroa_3;60;6699036.317;25.89185397;8.976673728
2465;Pachyseris speciosa;Rangiroa_3;60;6390124.856;19.07220271;7.685895651
2466;Pachyseris speciosa;Rangiroa_3;60;9930032.17;29.60174622;11.12914075
2467;Pachyseris speciosa;Rangiroa_3;60;4712116.683;14.5367299;5.176965493
2468;Pachyseris speciosa;Rangiroa_3;60;4671634.643;11.45050683;4.923700679
2473;Pachyseris speciosa;Rangiroa_3;40;6409558.473;23.0331491;8.060619258
2474;Pachyseris speciosa;Rangiroa_3;40;8192893.832;22.47581045;8.190007217
2475;Pachyseris speciosa;Rangiroa_3;40;5585959.381;15.46152179;5.057310392
2476;Pachyseris speciosa;Rangiroa_3;40;5842219.506;22.65221339;9.773961813
2477;Pachyseris speciosa;Rangiroa_3;40;4696132.209;12.37825686;4.317077239
2478;Pachyseris speciosa;Rangiroa_3;40;6155268.615;17.76174789;7.373749875
1737;Pachyseris speciosa;Tikehau_2;40;7846683.572;17.76846534;5.181607995
1738;Pachyseris speciosa;Tikehau_2;40;5141157.49;10.11387196;2.292208436
1739;Pachyseris speciosa;Tikehau_2;40;11752503.47;39.55395207;12.85164237
1740;Pachyseris speciosa;Tikehau_2;40;7092357.425;12.84156337;1.494372152
1741;Pachyseris speciosa;Tikehau_2;40;8888482.558;32.74204412;2.408212255
1742;Pachyseris speciosa;Tikehau_2;40;7209728.107;16.47505269;4.485274851
1080;Pocillopora verrucosa;Bora_2;40;3456763.16;31.23723304;10.28118462
1081;Pocillopora verrucosa;Bora_2;40;2958112.639;18.88698835;6.593906409
1082;Pocillopora verrucosa;Bora_2;40;4485631.552;37.53244828;13.48276373
1083;Pocillopora verrucosa;Bora_2;40;3001403.291;26.28615822;10.23970968
1084;Pocillopora verrucosa;Bora_2;40;3078637.925;23.12701322;8.988000465
1085;Pocillopora verrucosa;Bora_2;40;2443067.744;26.79635699;9.291761976
