"ID_LAB";"Depth";"Island_Site";"Colbar";"C1.C1d.C42.2.C3.C1b.C3cg.C45c.C115k.C1au.C41p";"C42.2.C1.C42g.C42a.C1b.C1az.C1au.C3.C115k.C41p.C115d";"C1.C42.2.C1j.C1b.C3cg.C1au.C3.C45c.C115k";"C42.2.C1.C1b.C3.C1au";"C42.2.C1.C42a.C1b.C1az.C1au.C115d.C3.C1j";"C1d.C42.2.C1";"C1.C42.2.C3.C1b";"D1.D6.D4.D2d.D2.2.D1h.D2f";"D1.D4.D6.D1h.D2g.D2d.D2.2";"D1.D6.D4.D1h.D2g";"D1.D4.D4c.D6.D1c";"G3a.G3ai.G3ae"
240;6;"Moorea_2";"c5";0;22383;0;0;0;0;0;0;0;0;0;0
239;6;"Moorea_2";"c4";0;23796;0;0;0;0;0;0;0;0;0;0
1022;6;"Bora_2";"c4";0;11617;0;0;0;0;0;0;0;0;0;0
1025;6;"Bora_2";"c6";0;734;0;0;0;0;0;0;0;0;0;0
235;6;"Moorea_2";"c1";0;7224;0;0;0;0;0;0;0;0;0;0
238;6;"Moorea_2";"c3";0;13395;0;0;0;0;0;0;0;0;0;0
237;6;"Moorea_2";"c2";0;20921;0;0;0;0;0;0;0;0;0;0
1023;6;"Bora_2";"c5";0;6431;0;0;0;0;0;0;0;0;0;0
1019;6;"Bora_2";"c1";0;3095;0;0;0;0;0;0;0;0;0;0
1020;6;"Bora_2";"c2";0;0;0;0;1205;0;0;0;0;0;0;0
1021;6;"Bora_2";"c3";0;0;0;0;4082;0;0;0;0;0;0;0
926;20;"Bora_2";"c8";428;0;0;0;0;0;0;0;0;0;0;0
924;20;"Bora_2";"c6";3085;0;0;0;0;0;0;0;0;0;0;0
925;20;"Bora_2";"c7";5664;0;0;0;0;0;0;0;0;0;0;0
922;20;"Bora_2";"c4";22927;0;0;0;0;0;0;0;0;0;0;0
128;20;"Moorea_2";"c8";36029;0;0;0;0;0;0;0;0;0;0;0
920;20;"Bora_2";"c2";29904;0;0;0;0;0;0;0;0;0;0;0
100;20;"Moorea_2";"c1";33041;0;0;0;0;0;0;0;0;0;0;0
921;20;"Bora_2";"c3";29609;0;0;0;0;0;0;0;0;0;0;0
923;20;"Bora_2";"c5";0;2093;0;0;0;0;0;0;0;0;0;0
111;20;"Moorea_2";"c4";0;13367;0;0;0;0;0;0;0;0;0;0
110;20;"Moorea_2";"c3";0;0;2811;0;0;0;0;0;0;0;0;0
113;20;"Moorea_2";"c6";0;0;2552;0;0;0;0;0;0;0;0;0
124;20;"Moorea_2";"c7";0;0;27158;0;0;0;0;0;0;0;0;0
102;20;"Moorea_2";"c2";0;0;8081;0;0;0;0;0;0;0;0;0
919;20;"Bora_2";"c1";0;0;17424;0;0;0;0;0;0;0;0;0
112;20;"Moorea_2";"c5";2913;0;0;0;0;0;0;0;0;0;0;6362
140;40;"Moorea_2";"c1";1254;0;0;0;0;0;0;0;0;0;0;0
1081;40;"Bora_2";"c1";40734;0;0;0;0;0;0;0;0;0;0;0
1088;40;"Bora_2";"c2";15859;0;0;0;0;0;0;0;0;0;0;0
1083;40;"Moorea_2";"c3";54054;0;0;0;0;0;0;0;0;0;0;0
1085;40;"Moorea_2";"c5";49334;0;0;0;0;0;0;0;0;0;0;0
1084;40;"Moorea_2";"c4";41873;0;0;0;0;0;0;0;0;0;0;0
1086;40;"Moorea_2";"c6";38601;0;0;0;0;0;0;0;0;0;0;0
1087;40;"Bora_2";"c3";8284;0;0;0;0;0;0;0;0;0;0;0
1082;40;"Moorea_2";"c2";18497;0;0;0;0;0;0;0;0;0;0;0
172;40;"Moorea_2";"c3";15873;0;0;0;0;0;0;0;0;0;0;0
143;40;"Moorea_2";"c2";0;49550;0;0;0;0;0;0;0;0;0;0
233;40;"Moorea_2";"c5";0;20588;0;0;0;0;0;0;0;0;0;0
232;40;"Moorea_2";"c4";0;14137;0;0;0;0;0;0;0;0;0;0
163;60;"Moorea_2";"c1";94035;0;0;0;0;0;0;0;0;0;0;0
166;60;"Moorea_2";"c2";18638;0;0;0;0;0;0;0;0;0;0;0
1148;60;"Bora_2";"c6";21363;0;0;0;0;0;0;0;0;0;0;0
1147;60;"Bora_2";"c5";9883;0;0;0;0;0;0;0;0;0;0;0
1144;60;"Bora_2";"c2";21242;0;0;0;0;0;0;0;0;0;0;0
1146;60;"Bora_2";"c4";22623;0;0;0;0;0;0;0;0;0;0;0
168;60;"Moorea_2";"c4";12875;0;0;0;0;0;0;0;0;0;0;0
169;60;"Moorea_2";"c5";2588;0;0;0;0;0;0;0;0;0;0;0
167;60;"Moorea_2";"c3";17658;0;0;0;0;0;0;0;0;0;0;0
1145;60;"Bora_2";"c3";32479;0;0;0;0;0;0;1476;0;0;0;0
1143;60;"Bora_2";"c1";0;15385;0;0;0;0;0;33859;0;0;0;0
2599;6;"Rangiroa_3";"c6";821;0;0;0;0;0;0;0;0;601;0;0
1771;6;"Tikehau_2";"c2";0;41644;0;0;0;0;0;0;0;0;0;0
2596;6;"Rangiroa_3";"c3";0;15230;0;0;0;0;0;0;0;0;0;0
1775;6;"Tikehau_2";"c5";0;62042;0;0;0;0;0;0;0;0;0;0
2594;6;"Rangiroa_3";"c1";0;3433;0;0;0;0;0;0;0;0;0;0
1778;6;"Tikehau_2";"c6";0;5258;0;0;0;0;0;0;0;0;0;0
1769;6;"Tikehau_2";"c1";0;51238;0;0;0;0;0;0;0;0;0;0
1772;6;"Tikehau_2";"c3";0;25348;0;0;0;0;0;0;0;0;0;0
2595;6;"Rangiroa_3";"c2";0;7671;0;0;0;0;0;0;0;0;0;0
1774;6;"Tikehau_2";"c4";0;21583;0;0;0;0;0;0;0;0;0;0
2597;6;"Rangiroa_3";"c4";0;0;0;0;52839;0;0;0;0;0;0;0
2598;6;"Rangiroa_3";"c5";0;0;0;0;3846;0;0;0;0;0;0;0
2484;20;"Rangiroa_3";"c1";4799;0;0;0;0;0;0;0;0;0;0;0
1617;20;"Tikehau_2";"c5";30151;0;0;0;0;0;0;0;0;0;0;0
2488;20;"Rangiroa_3";"c5";0;11491;0;0;0;0;0;0;0;0;0;0
2486;20;"Rangiroa_3";"c3";0;43008;0;0;0;0;0;685;0;0;0;0
1614;20;"Tikehau_2";"c2";0;40395;0;0;0;0;0;0;0;0;0;0
1618;20;"Tikehau_2";"c6";0;44621;0;0;0;0;0;0;0;0;0;0
1612;20;"Tikehau_2";"c1";0;12446;0;0;0;0;0;0;0;0;0;0
2487;20;"Rangiroa_3";"c4";0;0;0;381;0;0;0;805;0;0;0;0
2485;20;"Rangiroa_3";"c2";0;0;0;7024;0;0;0;1215;0;0;0;0
1616;20;"Tikehau_2";"c4";8747;0;0;0;0;0;0;0;82215;0;0;0
1615;20;"Tikehau_2";"c3";10950;0;0;0;0;0;0;0;0;16493;0;0
2483;20;"Rangiroa_3";"c93";0;0;0;0;0;0;286;0;0;0;0;0
2583;40;"Rangiroa_3";"c91";688;0;0;0;0;0;0;0;0;0;0;0
1859;40;"Tikehau_2";"c2";28116;0;0;0;0;0;0;0;0;0;1633;0
2588;40;"Rangiroa_3";"c8";12328;0;0;0;0;0;0;0;0;9071;0;0
2587;40;"Rangiroa_3";"c7";0;13487;0;0;0;0;0;0;0;0;0;0
1856;40;"Tikehau_2";"c1";0;5566;0;0;0;0;0;0;0;0;0;0
1855;40;"Tikehau_2";"c5";0;0;373;0;0;0;0;0;0;0;0;0
2585;40;"Rangiroa_3";"c6";0;0;0;0;0;0;0;0;1302;0;0;0
1862;40;"Tikehau_2";"c4";0;0;0;0;11613;0;0;0;0;0;0;0
1860;40;"Tikehau_2";"c3";0;0;453;0;0;0;0;0;0;3450;0;0
2584;40;"Rangiroa_3";"c92";0;0;0;0;0;178;0;0;0;0;0;0
1718;60;"Tikehau_2";"c2";0;0;784;0;0;0;0;0;33235;0;0;0
