"","variable","Moorea_40","Moorea_60","Bora Bora_40","Bora Bora_60","Bora Bora_90","Tikehau_20","Tikehau_40","Tikehau_60","Tikehau_90","Rangiroa_40","Rangiroa_60","Rangiroa_90"
"1","Zoox"," 7.1e+06"," 9.5e+06"," 9.0e+06"," 1.1e+07"," 1.4e+07"," 9.2e+06"," 1.2e+07"," 6.0e+06"," 1.1e+07"," 5.6e+06"," 6.6e+06"," 1.6e+07"
"2","Chl_A"," 2.0e+01"," 2.9e+01"," 2.8e+01"," 2.3e+01"," 5.3e+01"," 2.5e+01"," 4.0e+01"," 1.6e+01"," 5.7e+01"," 1.8e+01"," 2.0e+01"," 5.3e+01"
"3","Chl_C2"," 9.2e+00"," 1.2e+01"," 1.2e+01"," 1.0e+01"," 2.1e+01"," 7.8e+00"," 1.3e+01"," 5.6e+00"," 2.2e+01"," 6.8e+00"," 7.7e+00"," 2.5e+01"
"4","RatioChlA"," 3.0e-06"," 3.0e-06"," 3.1e-06"," 2.1e-06"," 3.8e-06"," 2.7e-06"," 3.4e-06"," 2.6e-06"," 5.1e-06"," 3.1e-06"," 3.1e-06"," 3.3e-06"
"5","RatioChlC2"," 1.3e-06"," 1.3e-06"," 1.4e-06"," 9.4e-07"," 1.5e-06"," 8.5e-07"," 1.1e-06"," 9.5e-07"," 2.0e-06"," 1.2e-06"," 1.2e-06"," 1.6e-06"
"6","Chlorophylls"," 3.0e+01"," 4.1e+01"," 4.0e+01"," 3.3e+01"," 7.4e+01"," 3.2e+01"," 5.2e+01"," 2.1e+01"," 7.9e+01"," 2.4e+01"," 2.8e+01"," 7.8e+01"
"7","Chlorophylls_Ratio"," 4.3e-06"," 4.3e-06"," 4.5e-06"," 3.1e-06"," 5.3e-06"," 3.5e-06"," 4.5e-06"," 3.6e-06"," 7.2e-06"," 4.3e-06"," 4.2e-06"," 4.9e-06"
"8","Chlorophylls_Ratio_a_c2"," 2.2e+00"," 2.3e+00"," 2.3e+00"," 2.3e+00"," 2.5e+00"," 3.2e+00"," 3.1e+00"," 2.8e+00"," 2.6e+00"," 2.7e+00"," 2.6e+00"," 2.1e+00"
"9","Chlorophylls_Ratio_c2_a"," 4.5e-01"," 4.3e-01"," 4.4e-01"," 4.4e-01"," 4.1e-01"," 3.2e-01"," 3.2e-01"," 3.6e-01"," 3.9e-01"," 3.8e-01"," 3.8e-01"," 4.7e-01"
"10","Chlorophylls_Ratio_Ratio_c2_a"," 4.5e-01"," 4.3e-01"," 4.4e-01"," 4.4e-01"," 4.1e-01"," 3.2e-01"," 3.2e-01"," 3.6e-01"," 3.9e-01"," 3.8e-01"," 3.8e-01"," 4.7e-01"
"11","Septa.Distance"," 2.7e-02"," 4.3e-02"," 5.1e-02"," 4.4e-02"," 3.4e-02"," 4.5e-02"," 6.8e-02"," 5.5e-02"," 2.9e-02"," 6.1e-02"," 6.9e-02"," 3.2e-02"
"12","Width.Valley"," 1.3e-01"," 8.3e-02"," 1.7e-01"," 1.5e-01"," 1.3e-01"," 1.6e-01"," 3.5e-01"," 1.5e-01"," 9.3e-02"," 1.8e-01"," 1.6e-01"," 2.5e-01"
"13","Height.Septa"," 2.8e+00"," 2.1e+00"," 3.1e+00"," 3.1e+00"," 1.6e+00"," 2.7e+00"," 1.4e+00"," 2.1e+00"," 1.1e+00"," 2.5e+00"," 2.2e+00"," 1.3e+00"
"14","iso13C_Polyps","-1.9e+01","-1.9e+01","-1.9e+01","-1.9e+01","-2.1e+01","-1.8e+01","-1.8e+01","-1.8e+01","-2.0e+01","-1.7e+01","-1.7e+01","-2.0e+01"
"15","iso13C_Zoox","-1.8e+01","-1.9e+01","-1.8e+01","-2.0e+01","-2.1e+01","-1.8e+01","-1.8e+01","-1.8e+01","-2.0e+01","-1.7e+01","-1.6e+01","-2.1e+01"
"16","iso15N_Polyps"," 3.0e+00"," 4.5e+00"," 4.9e+00"," 6.0e+00"," 6.0e+00"," 9.2e+00"," 7.9e+00"," 7.8e+00"," 7.6e+00"," 7.3e+00"," 9.9e+00"," 7.5e+00"
"17","iso15N_Zoox"," 3.0e+00"," 4.4e+00"," 5.2e+00"," 5.8e+00"," 5.9e+00"," 9.7e+00"," 8.3e+00"," 8.5e+00"," 9.1e+00"," 9.3e+00"," 8.9e+00"," 8.3e+00"
"18","Ratio_CN_Polyps"," 5.1e+00"," 5.2e+00"," 4.6e+00"," 5.0e+00"," 4.1e+00"," 7.3e+00"," 3.8e+00"," 5.6e+00"," 5.5e+00"," 6.0e+00"," 5.9e+00"," 4.2e+00"
"19","Ratio_CN_Zoox"," 7.5e+00"," 7.5e+00"," 5.9e+00"," 6.5e+00"," 6.0e+00"," 7.2e+00"," 5.4e+00"," 6.7e+00"," 6.9e+00"," 6.2e+00"," 6.4e+00"," 5.4e+00"
"20","Delta13C_Pol_Zoox","-4.6e-01"," 1.8e-01","-1.8e-01"," 7.3e-01"," 1.3e-01"," 1.7e-01"," 4.0e-01"," 6.5e-02","-5.5e-02","-1.4e-01","-3.2e-01"," 2.6e-01"
"21","Delta15N_Pol_Zoox","-1.5e-02"," 1.7e-02","-2.9e-01"," 2.2e-01"," 1.8e-01","-4.7e-01","-4.7e-01","-7.3e-01","-1.4e+00","-2.0e+00"," 1.1e+00","-8.3e-01"
